trial,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,f1_macro,accuracy
0,1000,0.03735829498998231,21,1.0,0.6,1.3769579319397828e-07,2.047660779906531,0.8774342449911389,0.3978427340929976,0.49789371354504214
1,1300,0.026687148364280117,10,1.0,1.0,3.55053841877328e-07,2.153018606657576,0.004199499383128215,0.4275054516784897,0.5084251458198314
2,900,0.02069830835864267,16,0.9,0.9,1.0433952633161989e-07,2.2515112154294092,0.017574200019238168,0.4319155929058012,0.5082631237848347
3,1100,0.029697714819974824,13,1.0,0.8,2.1834128231373267e-08,2.5586644409842543,0.003796913841126703,0.4243511967509302,0.5079390797148412
4,500,0.03726370373354356,25,1.0,0.7,5.165436584174366e-08,2.63947437940673,0.031304860180114254,0.4209317662275578,0.5118276085547635
5,600,0.019866721614662203,10,1.0,0.7,0.0006872188617746073,2.2694446312542333,0.05850054827816268,0.411743610172427,0.51150356448477
6,1200,0.012920921021622348,25,1.0,1.0,0.034131967734309585,2.548677915232689,1.3566672653302645,0.4395897645540918,0.5051847051198963
7,600,0.013121800797993606,10,0.9,0.7,9.574749494347981e-07,2.7987456209971606,0.01630145622169739,0.41616243137729286,0.5157161373946857
8,800,0.02121952212445243,12,1.0,0.6,0.16043204759900534,2.735366661048032,0.004733953248715525,0.4112166109209552,0.5071289695398574
9,500,0.03097110499792879,21,1.0,0.9,3.472179937169979e-08,2.312877744268239,0.002475803161211624,0.43195481809563097,0.5056707712248866
10,1800,0.010083485170313742,25,0.9,1.0,0.042353362598404706,2.9514622627316376,2.0844840640438345,0.43944687908301017,0.5162022034996759
11,1800,0.010050390721045353,25,0.9,1.0,0.17429806235681328,2.983597437441845,1.9538067683547136,0.43775893770067037,0.5176604018146468
12,1500,0.010058138480662651,21,0.9,1.0,0.004272508967144644,2.9947110300215756,0.3195961886049608,0.4430768652318287,0.5150680492546986
13,1400,0.013856835677229009,21,0.9,0.9,0.0012313185508110122,2.420448854951301,0.2637839524687873,0.43240677984855286,0.5113415424497731
14,1400,0.01291703420177498,19,0.9,1.0,0.003963805452204439,2.500709042050561,0.2682470169423335,0.44352618911344965,0.5121516526247569
15,1500,0.016580767986460108,18,0.9,0.9,0.0007118618879036173,2.8170721693482754,0.21192397756310047,0.4327460197907415,0.5124756966947505
16,1600,0.011547853955763155,18,0.9,0.8,1.3052115476089238e-05,2.3812018273016577,0.3514175604646004,0.429208759526784,0.5136098509397278
17,1600,0.01566525772862425,16,0.9,0.8,0.008032642554797393,2.0107160293526767,0.10902939848419246,0.4242191171076539,0.5064808813998704
18,1300,0.011279315701775157,22,0.9,1.0,5.045052879482711e-05,2.5237551390987885,0.5541881009240289,0.4453726980250925,0.5118276085547635
19,1200,0.016710747737014527,23,0.9,0.9,4.583030116479961e-05,2.5138595535332424,0.652310758280681,0.4336348164224375,0.5140959170447181
20,1300,0.011678721241680252,19,0.9,1.0,4.9650554428517434e-05,2.6298213123838297,0.09513751108176567,0.4459667975629275,0.5136098509397278
21,1300,0.011640827586548125,19,0.9,1.0,5.705229005094749e-05,2.67514488551433,0.1209279283615232,0.44384224326019467,0.5118276085547635
22,1300,0.011665702340264334,23,0.9,1.0,2.7134624073402505e-05,2.6656926514286545,0.09332005405592463,0.4449319130796601,0.5126377187297473
23,1000,0.014967763127435803,23,0.9,0.9,5.130840134585309e-06,2.633975941422924,0.06690932320069942,0.43563640691667227,0.5137718729747246
24,1100,0.011759902799530767,22,0.9,1.0,0.0001648210294807085,2.868620552069699,0.12255830459246143,0.442894141649849,0.5126377187297473
25,1300,0.011477711423626275,23,0.9,0.9,4.4452727288924845e-06,2.594655502180183,0.02636430709538894,0.4301613572882596,0.5106934543097861
26,1600,0.01764590691799624,16,0.9,1.0,0.00019394189604521675,2.4765028967563207,0.01089717388789902,0.4418819714443658,0.5097213220998056
27,1400,0.013987473514222434,20,0.9,0.9,1.0173405310136226e-05,2.711081530523673,0.7379313990741942,0.4314775401941207,0.5136098509397278
28,1200,0.018206547630314686,23,0.9,1.0,1.2193009305741737e-06,2.8588323802245834,0.0012191721890268204,0.4438289452136303,0.5139338950097213
29,1000,0.022979019157411903,20,0.9,0.6,0.00020091410180534387,2.384992568778827,0.47368860018758707,0.4085846936454831,0.5037265068049255
30,800,0.010893311914175283,22,0.9,1.0,3.800192402741849e-05,2.7372312773011895,0.15814540342902855,0.44209836233245375,0.5111795204147764
31,1300,0.012031705095305392,19,0.9,1.0,4.538463741336378e-05,2.663466449290616,0.08009124198435867,0.4423236541507582,0.5103694102397927
32,1300,0.014453741576317129,17,0.9,1.0,1.9787380008819424e-05,2.598905040300322,0.03339707336125901,0.4422124258203164,0.51150356448477
33,1500,0.010968475412981682,19,0.9,1.0,0.00011783402338156877,2.6854239336111796,0.16810153387904755,0.44751381721875033,0.5149060272197019
34,1500,0.010853641332065301,15,0.9,0.9,2.2741588627419164e-06,2.1280171510133106,1.1168334317309254,0.43173929449857534,0.5108554763447829
35,1100,0.012608848505926846,24,0.9,1.0,9.576260473997624e-05,2.5517783923722885,0.04442751632969675,0.4455440880025378,0.5123136746597537
36,1100,0.012608711527676118,24,0.9,1.0,0.00011751022281874237,2.439677684975463,0.04572270296086535,0.44856842387197826,0.5134478289047311
37,900,0.012535054591745483,14,1.0,0.9,0.0001427481539190575,2.4356884950019992,0.043784739313154776,0.43095228798281365,0.5079390797148412
38,1100,0.013341605070110948,24,0.9,0.8,0.0006318151058646676,2.344141365676348,0.01086715790994161,0.42864325095245004,0.5110174983797796
39,900,0.015692655459564758,24,1.0,1.0,0.001500641718829895,2.239040114376298,0.020698673630519502,0.44572019124717893,0.5030784186649384
40,900,0.015097061760512677,17,1.0,0.9,0.001453085993940463,2.1054916958870926,0.019303700297644555,0.4346516038230172,0.507453013609851
41,800,0.012437867401420504,24,1.0,1.0,0.0004203170969333482,2.2552838935452533,0.046379749278000953,0.4470704732861506,0.5050226830848995
42,700,0.010560383065233717,24,1.0,1.0,0.0003791535651412242,2.1920432864969692,0.011060104262038333,0.4498205763663683,0.5059948152948801
43,600,0.01078111702444153,20,1.0,1.0,1.9813157511866856e-07,2.206676707191649,0.00677642474187064,0.44705269935397407,0.5042125729099157
44,700,0.010637940845847701,24,1.0,1.0,2.955638681352529e-07,2.1890567787680713,0.006268231559649744,0.4456257690550081,0.5027543745949449
45,600,0.010714938267165816,25,1.0,0.7,0.0005821535949224546,2.2082442457958367,0.00960985163683125,0.41905408939998307,0.5051847051198963
46,700,0.0274721351570999,20,1.0,1.0,1.244636539634733e-08,2.07930228677248,0.002544408766582864,0.44158173276270635,0.4987038237200259
47,500,0.010035011034976053,21,1.0,1.0,0.010538850799640478,2.3080653723030484,0.013384041037385925,0.44837609547229224,0.5064808813998704
48,500,0.010056164305611575,22,1.0,0.9,0.010326160408913463,2.280833045889976,0.013880510314023514,0.43403496149560156,0.5068049254698639
49,700,0.012203803276976474,21,1.0,1.0,0.046617725391654256,2.3233911690576377,0.027862482029934264,0.4464175654256313,0.5058327932598834
50,500,0.03932371748320301,25,1.0,1.0,0.0002950726667679002,2.3747841907352734,0.05480635858941344,0.44173293972791045,0.5011341542449773
51,600,0.010584023394071978,20,1.0,1.0,8.40241091320871e-08,2.1694609939004574,0.006636984450759999,0.4454704118385983,0.5024303305249513
52,600,0.01355098920641322,24,1.0,1.0,0.003785705533512781,2.260379867406825,0.007236190041607661,0.443092695624913,0.5035644847699287
53,800,0.010474998806891213,18,1.0,1.0,0.0003746473605439251,2.222064795233823,0.0034981776188738167,0.44524956232249213,0.5032404406999352
54,700,0.034706947610496426,21,1.0,1.0,0.009170072662772165,2.2761642201419963,0.014747342245245921,0.45104004456880037,0.5082631237848347
55,700,0.033793579488744285,21,1.0,1.0,0.024555672494663127,2.2789675501980566,0.015539273255970203,0.44289710765187174,0.5009721322099806
56,800,0.025424271941308463,22,1.0,0.9,0.015094330250370257,2.1572406776268997,0.03448965198179161,0.4329812695019521,0.504050550874919
57,1700,0.01963108895163557,25,1.0,1.0,0.09695764469854809,2.320939222170148,0.16681335572162725,0.44678880611038446,0.5059948152948801
58,700,0.03091188700107244,12,1.0,0.9,0.0022520941995773937,2.2988059628933892,0.024917459218794007,0.42809836745331636,0.5085871678548283
59,500,0.01119688484612233,23,1.0,1.0,0.00522317794955816,2.471309882450733,0.05275937847993643,0.44873184358558893,0.508749189889825
60,500,0.03400297572488739,22,1.0,1.0,0.005325267083682069,2.470575908293783,0.01343165258482032,0.44496280613662864,0.5050226830848995
61,500,0.011137148951026262,23,1.0,1.0,0.016351295031781204,2.4117005059606207,0.07128360872419677,0.4469841391509524,0.5061568373298768
62,600,0.012396330061021352,24,1.0,1.0,0.00010661706568450418,2.3549849716985207,0.03871041103195181,0.4482979473114263,0.5068049254698639
63,500,0.010014597371972833,23,1.0,1.0,8.776953101649267e-05,2.352284840700692,0.020691475016594563,0.44466731141733423,0.5038885288399222
64,600,0.011301202106525745,22,1.0,1.0,0.0024087487600375954,2.4062727437238705,0.00472924110202874,0.44740595920638954,0.5063188593648736
65,500,0.024043378912130934,21,1.0,0.7,0.0008651994364722842,2.448278677672156,0.04091117326086686,0.42441709274454853,0.5090732339598185
66,600,0.012840524613423167,24,1.0,0.8,0.008947115978262634,2.5146132718606524,0.05824478363032444,0.42158010632748405,0.5038885288399222
67,1000,0.012057184917366643,23,1.0,1.0,9.953825326360309e-05,2.3543478788514465,0.15578551158048037,0.44466039649339417,0.5035644847699287
68,700,0.010349894053644455,21,1.0,1.0,0.08166999916054876,2.2975608464504145,0.008701053266529899,0.44864009703907454,0.5097213220998056
69,700,0.010312698746437964,21,1.0,0.9,0.07507962238328839,2.295449474111995,0.00889528352332054,0.4348487692741414,0.507453013609851
70,600,0.011512572029757334,25,1.0,0.6,0.16086989135359844,2.482542385969013,0.012789843670245335,0.40906655277309173,0.5059948152948801
71,700,0.011154838517496431,19,1.0,1.0,0.03299592377411406,2.328512358483205,0.017696327612686708,0.4452836134026101,0.5045366169799093
72,1700,0.010381711723267968,20,1.0,1.0,1.8006323903665398e-05,2.2428086041061,0.033497022108307906,0.4458854327253176,0.504050550874919
73,900,0.014186173916650644,22,1.0,1.0,0.06642874967415535,2.3893861452119207,0.023167749518392105,0.44661508335138933,0.5072909915748541
74,1400,0.011858609422384791,23,1.0,1.0,0.006362801638890254,2.590341754259969,0.0037019124838102227,0.44578899899751695,0.5069669475048607
75,600,0.013102704098048883,24,1.0,1.0,0.002648051942278508,2.1259083671578933,0.008496388857994317,0.4440591987044029,0.5008101101749838
76,500,0.01099635955299358,21,1.0,1.0,0.0002625960156816365,2.4423613868840217,0.005441422222285022,0.44749182058764697,0.5063188593648736
77,800,0.012211756894507486,18,1.0,1.0,0.019581538436226457,2.373421095088465,0.011159882586196575,0.4462043308836348,0.5051847051198963
78,600,0.02242628362173584,23,1.0,1.0,1.0322866774923414e-05,2.7743345630035305,0.0923709489507605,0.4441747370926985,0.507453013609851
79,1500,0.01032512512070293,25,0.9,0.9,0.0012250516339091656,2.1784956741718466,0.2225223161869269,0.4351154066147583,0.51150356448477
80,700,0.01131670098922928,21,1.0,1.0,6.80868411453282e-05,2.9127654170419994,0.39983293330029457,0.4402422139125473,0.5051847051198963
81,500,0.010947677088723557,21,1.0,1.0,0.00014703397592353876,2.429315837019809,0.00528800320104822,0.4444848406568764,0.5027543745949449
82,500,0.011006376029785029,20,1.0,1.0,0.00018492470899179452,2.5367774130261593,0.008206499068806803,0.44602452831155714,0.5055087491898899
83,500,0.0100106481694038,19,1.0,1.0,0.000256890646530001,2.4562676139535893,0.0014235220716377923,0.4481242522598956,0.5059948152948801
84,600,0.01038057050400283,19,1.0,1.0,2.478891816913536e-05,2.2311695929270314,0.015852120236388115,0.4441321844377662,0.5021062864549579
85,1200,0.010043350321324866,19,1.0,1.0,0.0010839834652986093,2.487065115767439,0.0012690608128974512,0.44792950132544024,0.5064808813998704
86,1200,0.010055384742950778,24,1.0,1.0,0.0010180743437975517,2.4937443066979457,0.0012787758447858134,0.447643167001847,0.5058327932598834
87,1100,0.011749979093138603,18,1.0,1.0,0.003386709297703187,2.471288740737217,0.0016526013671873472,0.44443444118465497,0.5051847051198963
88,1200,0.01058066583262672,22,1.0,1.0,0.012095341273684819,2.565675801988311,0.0020946688833148753,0.44056962787954496,0.5032404406999352
89,500,0.028732230355063598,20,1.0,0.9,0.0004776541340612417,2.4004525850552727,0.0015321242089497667,0.4288630731730303,0.5050226830848995
90,700,0.013576543201716543,17,1.0,1.0,0.0016284841920622705,2.361661808304411,0.0028285171087039374,0.4468978331323809,0.5068049254698639
91,1200,0.010036565294347526,24,1.0,1.0,0.0009506648526692506,2.492902665241336,0.0017644715932917678,0.4472184586737384,0.5068049254698639
92,1200,0.010290485028687082,23,1.0,1.0,0.0008177513261881991,2.4548057152500156,0.0010892089305559506,0.44866857118746223,0.5079390797148412
93,1200,0.010700686749672079,23,1.0,1.0,0.00031778661631319955,2.463596415818621,0.0011641919262399558,0.445281481866772,0.5055087491898899
94,600,0.010301286631802586,19,1.0,1.0,0.006077221892175639,2.430583536132356,0.0013767951096895436,0.4466947964640587,0.5056707712248866
95,500,0.0112527606462924,23,1.0,1.0,0.0006767775863875255,2.340548121356058,0.002069077261217135,0.44895753426371837,0.5066429034348672
96,500,0.01136665998996905,23,1.0,1.0,0.0005932652360997526,2.3001915801427066,0.0030681465565613264,0.44650834767448844,0.5058327932598834
97,800,0.01927709750680729,24,1.0,1.0,0.00027017205681462327,2.33139642718827,0.001813486399455182,0.44528558944282537,0.5043745949449125
98,500,0.01252839011276431,22,1.0,1.0,0.027809801178238388,2.2676885184163407,0.02843076455343574,0.44939318746162127,0.5066429034348672
99,600,0.01263624358828949,22,1.0,1.0,0.028538900344539382,2.2746236344323134,0.031186890480705023,0.4428939797759806,0.5017822423849644
100,500,0.012127156563124146,22,1.0,1.0,0.04540172647732024,2.2029926542960547,0.04150333066226083,0.444590864801737,0.5022683084899546
101,500,0.01149390874375455,23,1.0,1.0,0.06422034427987333,2.3064987992329953,0.0020398264639232768,0.44543084407251676,0.5051847051198963
102,600,0.010734852645134262,22,1.0,1.0,7.049342835842951e-05,2.260766285448121,0.001101303213547125,0.44912372804603024,0.505346727154893
103,600,0.020890321684358015,22,1.0,1.0,6.997541593658435e-05,2.272369995977282,0.0010001526777063349,0.4504106606363137,0.5071289695398574
104,700,0.010780937195415664,22,1.0,1.0,0.0208927387832909,2.2570390122635993,0.0021441223457593756,0.4460246470230606,0.5042125729099157
105,600,0.02577871893569251,22,1.0,1.0,3.729067540642019e-05,2.216873818839814,0.0011287406801456662,0.44455803395618926,0.5025923525599482
106,700,0.015796208438412715,21,1.0,1.0,0.12960626565473063,2.279948338180056,0.0011113051999545737,0.44864890315293054,0.5097213220998056
107,800,0.01647726517128334,23,1.0,1.0,0.12312059970827938,2.284028055344808,0.05159161410670765,0.4464533658473972,0.5077770576798445
108,700,0.01810245815722621,21,1.0,1.0,6.634200264030897e-05,2.244322576866831,0.0015445007613247024,0.4477531570749977,0.505346727154893
109,700,0.02050965191248689,23,1.0,1.0,0.12503172846078206,2.1864172030351106,0.0010005044379966213,0.4441198985296318,0.5045366169799093
110,600,0.014676208827197725,22,1.0,1.0,0.10558927288607318,2.2650878740791,0.0024762353079358377,0.447204184338351,0.507453013609851
111,600,0.01692534842615341,21,1.0,1.0,0.04021725307465877,2.3386791441803547,0.0010162564517390623,0.4435430028553476,0.5045366169799093
112,500,0.03609641560725649,22,1.0,1.0,0.009573797849440051,2.316779274721652,0.029195891866984073,0.44660770075974626,0.504050550874919
113,1100,0.011656106674962839,21,1.0,1.0,0.015034199026526657,2.2295550243508693,0.01266871319728516,0.4414146866124429,0.5004860661049902
114,600,0.010584554819228834,22,1.0,1.0,0.059083033741961846,2.1431895597196124,0.06840978576754322,0.44441590377151147,0.5034024627349319
115,700,0.021382765762654247,23,1.0,1.0,0.007154840158184903,2.2811962088451936,0.018317285666846636,0.4488625424871893,0.5066429034348672
116,800,0.01926242516379951,23,1.0,1.0,0.005196369599304298,2.2796369475057325,0.021840249300950024,0.44486721671368507,0.5037265068049255
117,700,0.015634463249202032,24,1.0,1.0,0.0018528805897686058,2.2509112866059264,0.018053854545515807,0.4475109278001206,0.5059948152948801
118,900,0.02176891503562336,23,1.0,1.0,0.00044209542012518935,2.203504150490442,0.0010376314953234559,0.4432108109306725,0.5016202203499676
119,700,0.02372147902494376,23,1.0,1.0,3.2571476006553405e-05,2.2823139657793425,0.027133890445198487,0.44500023846447906,0.5045366169799093
120,1000,0.020203990629415282,24,1.0,1.0,0.16990127117530052,2.2616479778208154,0.0018803892806551561,0.44627552079854316,0.5084251458198314
121,500,0.011137287853865573,22,1.0,1.0,0.007162966932227438,2.3015481073835264,0.010572858299679098,0.44901392553690006,0.5068049254698639
122,600,0.0216254855998062,22,1.0,1.0,0.0034663647008724282,2.3030196442059414,0.010627754167119113,0.44712242053747636,0.5055087491898899
123,800,0.01301555852421563,23,1.0,1.0,0.007636278660898554,2.338034024028994,0.007563309570856261,0.4433192147771879,0.5032404406999352
124,500,0.020928686862096594,22,1.0,1.0,0.024111331461126987,2.2307145507514554,0.001307739086068174,0.4475342236601134,0.5064808813998704
125,700,0.011240674772674486,25,1.0,1.0,7.824959046646552e-05,2.3887359830437647,0.016896096463769262,0.4422985098616518,0.501296176279974
126,600,0.011938704904422861,21,1.0,1.0,0.00012821335504468667,2.2944581396231367,0.009976572540816681,0.4497932419030836,0.5079390797148412
127,600,0.011907462167049118,21,1.0,1.0,0.00019129118245430116,2.292679428780637,0.009853200224313668,0.4480175586904384,0.5061568373298768
128,500,0.01098250876722755,20,1.0,0.8,0.08613638163333283,2.3116008022045045,0.01564080504871482,0.4278666219561927,0.5084251458198314
129,600,0.01874927745013174,21,1.0,0.9,0.013796050679665725,2.164625139717243,0.004246027130154102,0.43594541490767075,0.5072909915748541
130,700,0.0115726436265558,22,1.0,1.0,0.00013353230992652922,2.369099608227465,0.012565975887520897,0.44364494053639625,0.5030784186649384
131,500,0.012649363436192575,23,1.0,1.0,5.6474638693092245e-05,2.266156401769402,0.035751676801752216,0.44838859188346314,0.5056707712248866
132,700,0.01230946270147923,21,1.0,1.0,0.0007003306374756697,2.322699316618603,0.011224200380014416,0.44744350627479185,0.5056707712248866
133,600,0.013623777975983074,24,1.0,1.0,0.004128969763161929,2.240405005801129,0.006454808630075386,0.4462840013670852,0.5030784186649384
134,500,0.011162332678837946,22,1.0,1.0,0.19404734202510407,2.290553863419899,0.023272458738540544,0.44711717589324534,0.5105314322747894
135,600,0.03240275901737618,23,1.0,1.0,0.0001463345063445414,2.411024931343223,0.019927300780245426,0.44676035641727757,0.5061568373298768
136,700,0.010499547797475858,21,1.0,1.0,0.00010449398413966258,2.2137601675064786,0.047922336741004344,0.44503740055365704,0.5027543745949449
137,500,0.011945475691275057,24,1.0,0.6,0.00807139992556735,2.3513992530601695,0.014702828736931246,0.4120146009515142,0.5058327932598834
138,600,0.010830965938495259,23,1.0,1.0,4.6881315551065137e-05,2.1920177086774677,0.008658604258049804,0.4427997509074748,0.5011341542449773
139,1300,0.013320100652006815,22,1.0,1.0,0.031551205334854726,2.27151456817482,0.0055510501939678904,0.44683641517610556,0.5050226830848995
140,800,0.010410545751124342,20,0.9,1.0,0.0022508152618305327,2.243212281085779,0.0011957043449295015,0.4441451746496273,0.508749189889825
141,500,0.012716531374645327,23,1.0,1.0,1.9237369475335644e-05,2.2553654616383825,0.035959706956504946,0.44494627039570905,0.5032404406999352
142,500,0.012315012786400778,23,1.0,1.0,5.704838117960287e-05,2.2712781222076432,0.056895879647811336,0.44475260722481097,0.5025923525599482
143,500,0.01136450404471913,24,1.0,1.0,0.00021969992394737243,2.3134061977967475,0.024310819989676408,0.44854080122204626,0.5061568373298768
144,500,0.01139249615934351,25,1.0,1.0,0.00036773154258159217,2.3287278063736356,0.02467017304875982,0.4461775735627118,0.5050226830848995
145,600,0.011813028672043145,10,1.0,1.0,0.00019683455604398284,2.52721906294066,0.0016287802710001015,0.43784515318832934,0.5162022034996759
146,500,0.010816260914264934,24,1.0,1.0,0.00024491308237763805,2.31095595928241,0.08009140802724976,0.44485587377476704,0.5024303305249513
147,600,0.011291210282026915,22,1.0,1.0,8.570917943337258e-05,2.2927666229162837,0.018623430119602557,0.44779625883922974,0.5045366169799093
148,700,0.011073863367745516,24,1.0,0.7,0.0005082420404841383,2.341600916282103,0.0015066969821099332,0.4199788735549587,0.5059948152948801
149,500,0.038804105044591045,22,1.0,1.0,0.05107713248331886,2.3757110030712645,0.029913793717442336,0.4470158690900108,0.5077770576798445
150,700,0.01035305892477759,21,1.0,1.0,0.0001195060612928039,2.2191389008909903,0.01217222337682241,0.44633326160307646,0.5035644847699287
151,500,0.014090969630310018,23,1.0,1.0,6.595045004519906e-05,2.259733725210438,0.04611430873232123,0.4446344719714049,0.5025923525599482
152,500,0.011568903101158967,23,1.0,1.0,3.0956003859346084e-05,2.2740064063741254,0.034701275476590666,0.445684441436901,0.5032404406999352
153,500,0.012816257985792603,24,1.0,1.0,0.018613247735387785,2.298917260676203,0.03872626517882938,0.4455827050104044,0.5042125729099157
154,600,0.022802049082239723,22,1.0,1.0,0.005342720031568586,2.033639825405048,0.0010019358302519438,0.44466310771666145,0.5009721322099806
155,500,0.01730473839631065,24,1.0,1.0,4.9764611473048045e-05,2.316478291858172,0.009476148884412689,0.44225471793649174,0.5009721322099806
156,600,0.01197307934541968,25,1.0,1.0,0.0001586132887140617,2.2479368132651394,0.0013307592284820318,0.4471828716815214,0.5048606610499028
157,500,0.010698257909632214,23,1.0,1.0,0.00023969896976098158,2.2843833011238632,0.023236331339399476,0.44631529049073365,0.5037265068049255
158,800,0.012627490488039008,21,1.0,1.0,0.0008385074780314298,2.4449372192631493,0.06359390378879107,0.4481243442719438,0.5058327932598834
159,600,0.02797776758898347,22,0.9,1.0,0.0003766987086233532,2.091388000007097,0.015995888936339298,0.4419648560074898,0.5066429034348672
160,700,0.01617187801619448,23,1.0,1.0,1.300318019055227e-05,2.2342091265653647,0.0011422137168715441,0.4490053329906714,0.5056707712248866
161,700,0.01616969875780582,23,1.0,1.0,5.293091891124737e-06,2.229837953795646,0.0013073719626207248,0.44810544359620125,0.5046986390149061
162,700,0.015089567969630898,23,1.0,1.0,1.289738471102357e-05,2.264218757609366,0.0011083278694713917,0.44903700554039144,0.5055087491898899
