number,value,params,datetime_start
15,0.4686752845650983,"{'n_d_a': 52, 'n_steps': 6, 'gamma': 1.6780094431152788, 'lambda_sparse': 5.058808441737627e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.04591070385329145, 'weight_decay': 3.423154268765316e-05, 'virtual_batch_size': 256, 'cat_emb_dim': 2, 'n_independent': 2, 'n_shared': 4, 'patience': 40, 'batch_size': 1024}",2025-09-18 17:45:43.462836
16,0.4730302521633374,"{'n_d_a': 64, 'n_steps': 4, 'gamma': 2.2630082626570385, 'lambda_sparse': 2.041142586456068e-05, 'mask_type': 'sparsemax', 'learning_rate': 0.007307662788459593, 'weight_decay': 9.136085298589842e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 2, 'n_independent': 3, 'n_shared': 2, 'patience': 48, 'batch_size': 512}",2025-09-18 17:50:42.156961
17,0.48366466926271645,"{'n_d_a': 4, 'n_steps': 4, 'gamma': 2.6239492485459017, 'lambda_sparse': 3.599499915398238e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.026644226962460407, 'weight_decay': 1.279371467938619e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 3, 'n_independent': 1, 'n_shared': 3, 'patience': 56, 'batch_size': 512}",2025-09-18 17:54:23.420214
18,0.4591186543664523,"{'n_d_a': 48, 'n_steps': 6, 'gamma': 1.1934855527912254, 'lambda_sparse': 5.2637161631343974e-05, 'mask_type': 'entmax', 'learning_rate': 0.013997008377106091, 'weight_decay': 4.719678000181501e-06, 'virtual_batch_size': 256, 'cat_emb_dim': 1, 'n_independent': 3, 'n_shared': 4, 'patience': 35, 'batch_size': 2048}",2025-09-18 18:00:48.818695
19,0.47042243602709255,"{'n_d_a': 32, 'n_steps': 3, 'gamma': 2.257198369373234, 'lambda_sparse': 1.3357828063176665e-05, 'mask_type': 'sparsemax', 'learning_rate': 0.02090988513762602, 'weight_decay': 4.97027816510862e-05, 'virtual_batch_size': 128, 'cat_emb_dim': 2, 'n_independent': 2, 'n_shared': 1, 'patience': 66, 'batch_size': 1024}",2025-09-18 18:03:18.664612
20,0.4716580287127529,"{'n_d_a': 48, 'n_steps': 4, 'gamma': 2.7263136860651764, 'lambda_sparse': 3.7285881834992235e-05, 'mask_type': 'sparsemax', 'learning_rate': 0.0324124780597326, 'weight_decay': 2.8320784330808122e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 3, 'n_independent': 1, 'n_shared': 2, 'patience': 45, 'batch_size': 512}",2025-09-18 18:05:18.223371
21,0.48980534645678403,"{'n_d_a': 8, 'n_steps': 4, 'gamma': 2.4381510580351144, 'lambda_sparse': 3.3153183179664685e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.02772999948530238, 'weight_decay': 1.2392383453878975e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 3, 'n_independent': 1, 'n_shared': 3, 'patience': 57, 'batch_size': 512}",2025-09-18 18:08:02.247795
22,0.4771234841573229,"{'n_d_a': 4, 'n_steps': 5, 'gamma': 2.4616762476262184, 'lambda_sparse': 2.486142393972114e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.009943823217224956, 'weight_decay': 6.2486303928361425e-06, 'virtual_batch_size': 512, 'cat_emb_dim': 2, 'n_independent': 1, 'n_shared': 3, 'patience': 61, 'batch_size': 512}",2025-09-18 18:13:20.634058
23,0.489339317970164,"{'n_d_a': 32, 'n_steps': 3, 'gamma': 2.1521730553581344, 'lambda_sparse': 9.439759923679165e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.04983539960147785, 'weight_decay': 1.541386949108022e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 3, 'n_independent': 2, 'n_shared': 4, 'patience': 69, 'batch_size': 512}",2025-09-18 18:18:19.383114
24,0.4708113149717799,"{'n_d_a': 12, 'n_steps': 3, 'gamma': 2.4197553305721633, 'lambda_sparse': 1.1374499034300301e-05, 'mask_type': 'sparsemax', 'learning_rate': 0.0341034927421929, 'weight_decay': 1.4615016658703315e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 3, 'n_independent': 1, 'n_shared': 4, 'patience': 70, 'batch_size': 512}",2025-09-18 18:25:01.356751
25,0.4878121759636704,"{'n_d_a': 28, 'n_steps': 3, 'gamma': 2.7415549900386997, 'lambda_sparse': 4.065755350019328e-06, 'mask_type': 'sparsemax', 'learning_rate': 0.044149044128241215, 'weight_decay': 1.0028108018974954e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 3, 'n_independent': 2, 'n_shared': 4, 'patience': 56, 'batch_size': 512}",2025-09-18 18:29:25.469439
26,0.4704325711176043,"{'n_d_a': 8, 'n_steps': 4, 'gamma': 1.7831654913549693, 'lambda_sparse': 1.791883069541318e-06, 'mask_type': 'entmax', 'learning_rate': 0.04899253877266138, 'weight_decay': 1.5174061077587277e-05, 'virtual_batch_size': 512, 'cat_emb_dim': 3, 'n_independent': 1, 'n_shared': 3, 'patience': 48, 'batch_size': 512}",2025-09-18 18:36:05.573716
