trial,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,f1_macro,accuracy
0,1600,0.04779222556461673,153,18,99,0.8,0.9,1.2949143802640861,0.041917115166952006,0.4245515835913893,0.5204147764095917
1,1700,0.02038080761636022,155,18,99,0.8,0.9,0.6984421572159843,0.026079656598095833,0.4222677121847555,0.5184705119896306
2,1600,0.026116905777210965,151,17,99,0.8,0.9,1.184661144153136,0.0034587052147518095,0.42178102492625963,0.5186325340246274
3,1600,0.034417193564276756,145,18,99,0.8,1.0,1.4444202605764807,0.15199881220083966,0.4251610154725589,0.5166882696046662
4,1500,0.021872460331683132,152,17,99,0.8,0.9,1.3577696461975628,0.004993895014755658,0.42348372932519673,0.520252754374595
5,1600,0.026611680703624196,150,18,99,1.0,1.0,1.4035404003477032,0.2600831268726488,0.42592816846770926,0.5158781594296824
6,1600,0.04654581475365503,145,17,99,0.8,0.9,0.6736532274954183,0.17247957710046016,0.4228400815738221,0.5176604018146468
7,1600,0.025871706566857552,150,17,101,0.8,1.0,1.1679503942748435,0.003438172512115176,0.42767060069610907,0.5199287103046014
8,1500,0.042221603555670936,152,18,101,0.8,0.9,0.5678761056612817,0.21354541789291287,0.4255289567656406,0.520252754374595
9,1600,0.027083672808257967,145,17,99,1.0,1.0,1.3251897292809363,0.018814553601769875,0.4249629950641715,0.5171743357096565
10,1700,0.03503951674910943,148,17,101,1.0,1.0,0.9925068661067366,0.0012806131084649832,0.4237736334804027,0.5186325340246274
11,1500,0.02642985739777748,149,18,100,1.0,1.0,0.9742502524694183,0.00797833624220998,0.4295007342506419,0.5196046662346079
12,1500,0.02395291277325835,148,17,100,1.0,1.0,0.949350197433544,0.006564994480427533,0.4258409784076404,0.5199287103046014
13,1500,0.03196420032581891,148,18,100,1.0,1.0,1.0649738221224732,0.0012597445031256615,0.4277573100760817,0.520252754374595
14,1500,0.031990870859204004,148,18,100,1.0,1.0,0.830759449576255,0.0014354147231597305,0.4258786806713233,0.5191186001296176
15,1500,0.029889906948530127,147,18,100,1.0,1.0,1.0444829238159088,0.010618347886814414,0.427887369786788,0.5186325340246274
16,1500,0.02930736970662478,147,18,100,1.0,1.0,0.7864789386665,0.011255094590816844,0.42489586038797117,0.5192806221646143
17,1500,0.03655825546288082,147,18,100,1.0,1.0,0.9390515695072756,0.06481095795185975,0.427546949083127,0.520252754374595
18,1500,0.023410722176316595,149,18,100,1.0,1.0,1.136625883725102,0.011958708468391168,0.43376337052655584,0.522197018794556
19,1500,0.023598912540391533,149,18,101,1.0,1.0,1.1317765409250813,0.053103609383713314,0.4339513329035694,0.5200907323395982
20,1700,0.02300326539176733,154,18,101,1.0,1.0,1.13578800337381,0.48122908288791083,0.42360556240277275,0.5184705119896306
21,1500,0.023827771374459846,150,18,101,1.0,1.0,0.8565838451176809,0.07158321337492449,0.42147680645914476,0.5170123136746597
22,1500,0.02055704478707257,149,18,100,1.0,1.0,1.1667030068427615,0.020140683953918315,0.4264026874529157,0.5189565780946209
23,1500,0.022243939535383124,149,18,100,1.0,1.0,1.0717353144019381,0.011384353398044287,0.4299759689193492,0.5197666882696047
24,1500,0.02232911422725024,151,18,100,1.0,1.0,1.2313204821494106,0.04457901322069355,0.43023872433445226,0.5191186001296176
25,1500,0.024488868419557094,151,18,101,1.0,1.0,1.2395555630421637,0.07780850581148453,0.4220247860908624,0.5171743357096565
26,1500,0.020004803998378017,151,18,100,1.0,1.0,1.461764446598085,0.03467619945638815,0.42927251836016583,0.5189565780946209
27,1500,0.02182333806562076,152,18,101,1.0,1.0,1.2554688226491841,0.0441575118271236,0.4306549769581882,0.5204147764095917
28,1600,0.021412901282018372,153,18,101,1.0,1.0,1.1022491689119425,0.08671593764407878,0.43058406847672775,0.5197666882696047
29,1600,0.028837393152469262,153,18,101,1.0,0.9,1.2806432989574408,0.042847955262194995,0.42968070576291445,0.520900842514582
30,1500,0.024889673313085885,154,18,101,1.0,1.0,0.9181548460624213,0.1248483099650056,0.4260646519416922,0.5200907323395982
31,1700,0.02105485326634371,153,18,101,1.0,1.0,1.1048036906882517,0.1086927252873953,0.4280011206121796,0.5204147764095917
32,1600,0.021591945320499482,152,18,101,1.0,1.0,1.2918033455575402,0.030751288684779415,0.4221655138749041,0.5176604018146468
33,1700,0.023091363589665268,155,18,101,1.0,1.0,1.026770989351084,0.0542642824637604,0.4243013378593485,0.520252754374595
34,1600,0.021386565204248757,153,18,101,1.0,1.0,0.7584925828413117,0.016558432557828136,0.4263682133028916,0.5186325340246274
35,1600,0.02504663518743163,154,18,101,1.0,0.9,1.2288926443889052,0.09103388685878581,0.4260968837563615,0.520900842514582
36,1500,0.022997268533926554,152,18,101,0.8,1.0,1.3573855276025,0.02319296861719151,0.42428428136113827,0.5166882696046662
37,1500,0.027512134738543068,149,18,101,1.0,1.0,1.1079121600271236,0.02805432805794964,0.42349501932873573,0.5186325340246274
38,1700,0.020397854703507107,150,18,101,0.8,0.9,1.481078915361182,0.0036953005422652235,0.42483136091171964,0.5225210628645496
39,1600,0.025581221757620006,146,17,101,1.0,1.0,0.895556998091859,0.28447874674563195,0.4268095628757557,0.5212248865845756
40,1600,0.02366518432061979,152,18,99,0.8,0.9,1.3969776727207217,0.16327873997410441,0.4270519310872105,0.5194426441996112
41,1500,0.02236675656290011,151,18,100,1.0,1.0,1.2431218106236703,0.05512640181910085,0.42846657957328294,0.5186325340246274
42,1500,0.022235696218591457,150,18,100,1.0,1.0,1.187044935149083,0.043976337481437186,0.4297468628540388,0.520900842514582
43,1500,0.021314273112569868,151,18,100,1.0,1.0,0.5746141189858103,0.014434472293407288,0.4270503213603715,0.5184705119896306
44,1500,0.027774768739333596,152,18,100,1.0,1.0,1.0144235678701312,0.10109953852358963,0.4274646497579259,0.5199287103046014
45,1500,0.022769194015803445,150,18,100,1.0,1.0,1.184422202362739,0.046767676772781694,0.4294711957743618,0.5196046662346079
46,1600,0.04266035767028428,149,17,99,1.0,1.0,1.3293436144281747,0.03525061948430153,0.4310617593187113,0.5194426441996112
47,1600,0.0405194695382633,149,17,99,1.0,1.0,1.3345937946372748,0.033851852252432486,0.426568783015904,0.5186325340246274
48,1600,0.04472804636054376,148,17,99,1.0,1.0,1.4121225290846773,0.006750795836515588,0.4218113123095108,0.5162022034996759
49,1600,0.038673024349658865,149,17,99,1.0,1.0,1.1186367186458048,0.06425695975724595,0.42156323199188545,0.5184705119896306
50,1600,0.04902408453233001,155,17,99,0.8,1.0,0.9748920463949731,0.025016561730621823,0.42571192918745093,0.5176604018146468
51,1500,0.03329997148893347,150,17,99,1.0,1.0,1.2806639866885265,0.03735061522929331,0.4240111232752566,0.5191186001296176
52,1500,0.020893171075560085,151,18,101,1.0,1.0,1.2228840681789912,0.08410310088700003,0.423675372407696,0.5189565780946209
53,1500,0.04566935281960145,153,18,101,1.0,1.0,1.159249205506764,0.13979236685526267,0.4242722166917745,0.5189565780946209
54,1500,0.03078861832085263,148,18,99,1.0,1.0,0.5076357348092838,0.015407307211478996,0.42130489325457177,0.5158781594296824
55,1600,0.024027397635590586,150,17,101,1.0,1.0,1.0642924839035859,0.057998370154719904,0.4268528178270598,0.5223590408295529
56,1500,0.026248067014928614,152,18,101,1.0,1.0,1.3736426242174036,0.20356467777447243,0.42728024143272963,0.518146467919637
57,1500,0.021777754502108247,149,18,100,1.0,1.0,1.3191032483697442,0.02266688947372827,0.4290935718811805,0.5194426441996112
58,1600,0.020033548582626647,151,18,101,1.0,1.0,1.2035988552062127,0.008408739644462756,0.43202298477866563,0.520252754374595
59,1600,0.020079684702939082,147,18,101,1.0,1.0,1.13828040235576,0.004208716388896907,0.42175916049417433,0.5178224238496435
60,1600,0.03644833076771752,148,17,101,1.0,1.0,1.0855310241883598,0.008919210681039126,0.4253785258476981,0.5184705119896306
61,1600,0.020755149438061046,151,18,101,1.0,1.0,1.242238646665242,0.018507098193304126,0.4254990265267608,0.5179844458846403
62,1600,0.023408219066408654,152,18,101,1.0,1.0,1.208584966121024,0.04670436443277694,0.42715669954302804,0.5194426441996112
63,1500,0.021792037146129265,150,18,101,1.0,1.0,1.2798351252725213,0.0019320053721768322,0.42474622194176465,0.5179844458846403
64,1600,0.024462012712182127,151,18,101,1.0,1.0,1.4370723833380443,0.005970796102853696,0.4271172752666604,0.5170123136746597
65,1500,0.022526099542970784,149,18,101,1.0,1.0,1.1507466872591947,0.012359797206035273,0.430877492151462,0.5204147764095917
66,1700,0.042799849865399815,149,18,101,1.0,1.0,1.0382072737802197,0.012337288997855144,0.4277001023127758,0.5189565780946209
67,1600,0.020878963401870867,149,18,101,1.0,1.0,1.1426518722054984,0.002801586993308987,0.4283620757766671,0.5184705119896306
68,1500,0.025554933707396966,154,18,101,1.0,1.0,0.9885331215418731,0.008795928964931742,0.4284999812324048,0.5212248865845756
