trial,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,f1_macro,accuracy
0,1000,0.08927180304353628,120,9,20,0.6,0.6,2.9154431891537547,0.2537815508265665,0.4065600932697569,0.5163642255346728
1,1600,0.010485387725194618,150,11,30,0.6,0.6,0.016480446427978974,0.12561043700013558,0.41074111443943023,0.5136098509397278
2,1100,0.019553708662745254,100,6,30,0.7,0.8,1.382623217936987,0.006290644294586149,0.39544789941100805,0.5192806221646143
3,1300,0.03912141628549695,20,9,20,0.6,1.0,7.2866537374910445,1.7123375973163988,0.4015733141093804,0.5278677900194426
4,900,0.012521954287060391,110,8,20,0.8,0.6,4.337920697490942,0.010842262717330166,0.4063431346374052,0.520252754374595
5,1500,0.020497980520950188,90,9,20,1.0,0.9,5.727904470799623,3.7958531426706403,0.40117422087829846,0.5244653272845107
6,1400,0.0835361075531176,30,6,10,0.7,0.7,0.01217295809836997,2.0651425578959257,0.4007573961875224,0.5251134154244977
7,1000,0.01909565280104538,90,6,90,0.6,1.0,1.2273800987852967,0.0062353771356731605,0.40624121362523474,0.5278677900194426
8,500,0.06538248584518043,110,10,80,0.6,0.7,0.0029072088906598446,2.8340904295147746,0.4113272463577034,0.5150680492546986
9,1400,0.02142387495644906,20,7,40,0.9,0.9,3.53875886477924,0.0774211647399625,0.40106673223169215,0.5278677900194426
10,500,0.05083158501542686,60,12,80,0.8,0.7,0.0011077902520957408,7.537933313450101,0.4077387494423574,0.5217109526895658
11,2000,0.05753935112144989,150,11,60,0.7,0.7,0.012175940002380054,0.23266686800485914,0.41231758435159654,0.5126377187297473
12,2000,0.055392796707311086,150,11,70,0.7,0.7,0.002143477470707595,0.43504870402711404,0.4122103502733004,0.5123136746597537
13,2000,0.041327604167866495,150,12,60,0.7,0.8,0.09735125945191662,0.3958757445265429,0.40887710326365934,0.5140959170447181
14,2000,0.059212508958786846,130,11,60,0.7,0.7,0.015030256833470224,0.033676026777691576,0.41198951398416067,0.5124756966947505
15,1800,0.03544935578672579,140,11,50,0.9,0.8,0.0682505063528587,0.6828449922282457,0.4100625940384239,0.5149060272197019
16,1700,0.02791356738473849,60,10,70,0.8,0.7,0.004074283245557741,0.001129059573387675,0.40583142271023015,0.5189565780946209
17,1800,0.06887066502185406,130,10,90,0.7,0.9,0.2790260534417636,0.7552707534674783,0.4074819153342184,0.5217109526895658
18,2000,0.049991367472500506,70,12,50,0.9,0.6,0.004107991857341582,0.041312003793041605,0.40983177631640005,0.5176604018146468
19,1800,0.026855169717792903,150,8,100,0.8,0.7,0.03976631940144848,0.18156497727935406,0.40063171233214473,0.518146467919637
20,1900,0.09805754224185607,130,11,70,0.7,0.8,0.0011129709953152675,0.735997443149262,0.40388729683191,0.516850291639663
21,2000,0.05649578721841494,130,11,60,0.7,0.7,0.01380854421466933,0.025647969805371956,0.41383536665049653,0.5147440051847051
22,1600,0.04862932085420046,140,10,70,0.7,0.7,0.007581654068370673,0.019433174506300534,0.4072152618983478,0.5142579390797148
23,1900,0.07754546766153654,140,12,60,0.7,0.6,0.03409731455173579,0.07049643743322483,0.416651004333434,0.5129617627997408
24,1700,0.07317654244355325,120,12,50,0.8,0.6,0.26140858869223516,0.08522504272519438,0.4118454646134575,0.5110174983797796
25,1900,0.0776842883549033,140,5,40,0.7,0.6,0.026803481754512328,0.04830105392357923,0.3961090846977379,0.5179844458846403
26,1900,0.0636481834348396,120,12,60,0.6,0.6,0.041345123689263436,0.0020939421784727753,0.4066624351879211,0.5097213220998056
27,700,0.04187094108844469,110,11,40,0.8,0.7,0.009319080096106777,0.019089134105585485,0.4038011382023467,0.5145819831497084
28,1700,0.09504583303339108,130,10,80,0.7,0.6,0.24275534425533343,0.01961127995666094,0.4066344778917552,0.5132858068697342
29,1600,0.08306660720435714,140,12,60,0.6,0.6,0.13630693343817682,0.251747205850571,0.4104225025038159,0.5106934543097861
30,1900,0.03361010964817871,120,9,50,1.0,0.8,0.006510465203944363,0.1361628910018409,0.40993222053563905,0.5187945560596241
31,2000,0.05673862709531231,150,11,70,0.7,0.7,0.0017006763947694117,0.3709234040525387,0.40891331517887713,0.5113415424497731
32,2000,0.05538918587061916,150,11,70,0.7,0.7,0.02925788975567592,0.0733301119646098,0.41119680095978023,0.5139338950097213
33,1800,0.04635316062528137,140,11,60,0.6,0.6,0.016338309721394922,0.19471986681830025,0.4019220666018539,0.5103694102397927
34,1200,0.07057431467786714,150,12,80,0.7,0.8,0.003546677771640272,1.2131309557262564,0.4109037334075894,0.5158781594296824
35,1900,0.06134998691012234,100,10,40,0.6,0.8,0.002136376490978706,0.33476789805123774,0.4130562639498545,0.5197666882696047
36,1600,0.08929725213875589,100,10,30,0.6,0.8,0.026771833699627174,0.008853154245251809,0.4120040228372998,0.5223590408295529
37,1500,0.0761306360071467,100,9,30,0.6,0.9,0.00557561309063951,0.12726261515492965,0.41448219159515515,0.5218729747245625
38,1500,0.07940547275320048,80,9,30,0.6,0.9,0.006762552722532391,0.13512271280234917,0.4066258102182661,0.5223590408295529
39,1200,0.06498733127800657,100,8,10,0.6,1.0,0.004919476336562266,0.02940207679807243,0.4071498924024171,0.5207388204795852
40,1400,0.015307307181629407,80,9,40,0.6,0.9,0.0016711565733282005,0.004714430696291524,0.410026361798603,0.5223590408295529
41,1900,0.07383056891929947,110,10,30,0.6,0.9,0.011039985150639349,0.06688164610434015,0.40919496926640947,0.5160401814646792
42,1700,0.08685659731056905,100,8,20,0.6,0.8,0.017020264209959012,0.25950651525247004,0.4057547387526476,0.5170123136746597
43,900,0.06092138120573967,90,9,40,0.6,1.0,0.002568392179233724,0.09872183096566131,0.4104378863799629,0.5205767984445885
44,1500,0.04527285215564598,40,10,50,0.7,0.9,0.062062186043431174,0.05841392730979259,0.4054670817322563,0.5264095917044718
45,1800,0.05158064647801624,120,7,60,0.7,0.8,0.019854204779584703,0.12352946545722635,0.40566231862592267,0.5244653272845107
46,1900,0.03893657224978141,110,11,30,0.8,0.8,0.009996269854261932,0.5093541362638739,0.40739925868619903,0.5178224238496435
47,2000,0.09971737495678491,130,10,20,0.6,0.7,2.206033746881542,1.0738424015709322,0.40854043486962466,0.5207388204795852
48,1000,0.06527659928560188,90,11,50,0.7,1.0,0.00509259932011572,0.27617663468354237,0.41624562481840094,0.5231691510045366
49,1000,0.06772414405379672,80,12,50,0.6,1.0,0.005543025722391526,0.027314760297416356,0.4157637731328143,0.5241412832145171
50,1000,0.07730403199862998,70,12,50,0.9,1.0,0.006514026480842332,0.0036581678175880202,0.4099009880681906,0.5228451069345431
