trial,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,f1_macro,accuracy
0,1000,0.0568376349572445,220,19,110,0.6,0.6,1.3183127129102188,0.041917115166952006,0.4075697373729241,0.5121516526247569
1,1600,0.020457440438566,250,23,120,0.6,0.6,0.012470929124811883,0.026079656598095833,0.40830810259841965,0.5131237848347375
2,1100,0.027541120694067212,210,13,130,0.7,0.8,0.6733655856151826,0.0034587052147518095,0.42027328571312667,0.5205767984445885
3,1300,0.0383427782659158,140,20,110,0.6,1.0,3.0079077500351104,0.15199881220083966,0.4155854652583623,0.5196046662346079
4,900,0.022265447964905188,220,17,110,0.8,0.6,1.8855004466760237,0.004993895014755658,0.4080689711835046,0.5140959170447181
5,1500,0.02816786790385486,200,19,120,1.0,0.9,2.4217624958994715,0.2600831268726488,0.41555382533885626,0.5199287103046014
6,1400,0.05506501823422673,150,13,100,0.7,0.7,0.009493262527102227,0.17247957710046016,0.4149609189091561,0.516850291639663
7,1000,0.02723139071305203,200,13,180,0.6,1.0,0.6048838468104679,0.003438172512115176,0.4121665516628661,0.5239792611795204
8,500,0.048989609264119945,220,21,180,0.6,0.7,0.002614371518279751,0.21354541789291287,0.4097604446595861,0.5174983797796501
9,1400,0.02876792093597593,140,15,130,0.9,0.9,1.5696163858431342,0.018814553601769875,0.4174964655851965,0.5212248865845756
10,2000,0.03718172862420615,170,11,150,0.8,0.8,0.17700531386114476,0.0012814723555858946,0.41202172137865906,0.520900842514582
11,1800,0.0290919510694019,180,16,140,1.0,0.9,0.2719433770448643,0.005167863954393815,0.417844105733933,0.5187945560596241
12,1900,0.031425337934055664,180,16,150,1.0,0.8,0.13706263119188017,0.006366100750259808,0.4165885052471254,0.5204147764095917
13,1800,0.024189869471161723,180,13,140,0.9,0.9,0.32097740199301783,0.0012608985851146148,0.41578921488578785,0.5176604018146468
14,700,0.033279177638832896,240,15,160,0.7,0.8,0.04240914880455903,0.010970689116636442,0.41424977097067633,0.5210628645495787
15,1700,0.04230414060255247,160,11,160,0.8,0.9,0.04502723360989064,0.0027003652957602554,0.41684467601798264,0.5244653272845107
16,1100,0.024532719589274558,190,25,130,0.7,0.7,0.535235205978411,0.06294477671626098,0.4175105236057688,0.5197666882696047
17,1200,0.032296334262019485,210,17,170,0.9,0.8,0.1165370119270863,0.009580430148505988,0.4151089512592779,0.5197666882696047
18,800,0.025449773296779523,230,14,190,1.0,1.0,0.5077715765859142,0.0022807715880537385,0.41366629464666843,0.5230071289695398
19,1200,0.03032904356356599,190,12,140,0.7,0.9,0.03207865050813439,0.013268593189312426,0.4130336658304601,0.5210628645495787
20,600,0.043315248183970596,160,17,200,0.9,0.7,0.0011011827534912033,0.48122908288791083,0.4115763357976361,0.5189565780946209
21,1100,0.023931144991200977,190,25,130,0.7,0.7,0.8007899932518662,0.06552003566278318,0.41444860646088966,0.5184705119896306
22,1100,0.02638985477445195,180,25,130,0.7,0.8,0.27254078304750273,0.09532275153823391,0.4206766554370343,0.520252754374595
23,900,0.026567075012843805,170,21,140,0.8,0.8,0.23019179152832142,0.005739941274060476,0.41532910371514137,0.5186325340246274
24,1300,0.021900791640852096,210,23,120,0.7,0.9,0.2558805752744222,0.08560001633257665,0.4191934909933989,0.5200907323395982
25,1300,0.020046409156144567,210,24,120,0.7,0.8,0.8098091176283982,0.08507268238009816,0.42239178674588046,0.5212248865845756
26,1100,0.02000576002526744,210,24,130,0.7,0.8,1.1189275571250001,0.03467619945638815,0.42225911464371507,0.5212248865845756
27,1400,0.020160535382308272,230,23,100,0.7,0.8,3.759290868943922,0.03394381256726267,0.4187052800289927,0.522197018794556
28,1500,0.02232480846319508,200,24,120,0.8,0.8,0.08410587833517254,0.12647459024965027,0.4209382225549662,0.520252754374595
29,1600,0.022001768880132805,230,24,110,0.8,0.7,1.0596159871948498,0.04169009636978265,0.4216566260265095,0.5204147764095917
30,1600,0.021267462834025846,230,22,110,0.8,0.6,1.149151740167762,0.04281100909767367,0.410795584775596,0.5139338950097213
31,1500,0.022605300056699057,210,24,110,0.8,0.7,1.1735163331412144,0.04690813007273394,0.41774159709250397,0.5178224238496435
32,1600,0.02036796717770296,250,22,120,0.8,0.7,0.017684284706945268,0.02249228085946775,0.4181986509525637,0.5162022034996759
33,1500,0.0200247689231266,240,24,100,0.8,0.8,0.8466102238828366,0.11460101695433965,0.42362640273032987,0.520252754374595
34,1700,0.02048683655753529,240,24,100,0.6,0.6,1.0303829086010017,0.0325189690136701,0.4054674264914954,0.5110174983797796
35,1300,0.023346208315666507,240,22,100,0.8,0.8,1.9402653903952314,0.36753955200863375,0.41793975347536283,0.5194426441996112
36,1700,0.021548103560620178,220,20,110,0.9,0.7,0.46925876895833946,0.09564195388283911,0.41775723534604675,0.5174983797796501
37,1400,0.020074213944954847,250,24,110,0.6,0.8,3.441099560837781,0.05757142591146298,0.40989076817453335,0.5205767984445885
38,1000,0.022969389208037143,220,23,120,0.7,0.6,1.8301193665569333,0.13134283841372935,0.40887426375229247,0.5158781594296824
39,1500,0.021306060858477426,230,21,100,0.8,0.7,0.8045886043151189,0.016122439003541572,0.4157153225519899,0.5178224238496435
40,1200,0.02569572742137599,210,19,110,0.6,0.9,2.3503139597824787,0.028839803996451675,0.41978930860778657,0.5218729747245625
41,1500,0.022266877289371566,200,24,120,0.8,0.8,0.10889924956431113,0.1357750781024288,0.4211712452476288,0.5197666882696047
42,1300,0.02105248797475719,200,25,120,0.8,0.8,0.39344182103739733,0.2353260959474787,0.42399375825982216,0.5207388204795852
43,1300,0.02098567776940137,220,25,130,0.7,0.8,0.4398166151971913,0.24620104254357977,0.4191536428332448,0.5218729747245625
44,1600,0.024883931938506132,240,23,110,0.9,0.8,1.2016159168564327,0.3042898521672263,0.4230984483208573,0.5226830848995463
45,1400,0.025096148027400643,250,22,100,0.9,0.8,0.7914067675182418,0.19806170164555387,0.4207453450893019,0.5184705119896306
46,1000,0.02365626733545693,240,23,120,0.9,0.8,1.6013003436709752,0.33779754175453536,0.41968988779794997,0.5212248865845756
47,1300,0.020133036610878726,200,25,120,0.9,0.8,0.3607010171985702,0.2810008547275633,0.4231342414930143,0.5199287103046014
48,1300,0.02116630326516213,200,25,100,0.9,0.9,0.19448737128599797,0.3043732530897759,0.42303702571560553,0.5187945560596241
49,1800,0.027930804826123982,200,25,100,0.9,1.0,0.3896189661864958,0.3179496105851226,0.42318927851218713,0.5163642255346728
50,1900,0.027679855149330954,190,25,100,1.0,1.0,0.3686864297988301,0.47655409476853744,0.4304495387634879,0.5218729747245625
51,1900,0.0285807967152499,190,25,100,1.0,1.0,0.4103941413214791,0.48759629167284646,0.4227784201027293,0.5174983797796501
52,2000,0.03465287622012441,200,25,110,1.0,1.0,0.1692878808488353,0.16809390344589326,0.42574179687193864,0.5207388204795852
53,2000,0.03513539831723682,200,25,110,1.0,1.0,0.356468802625717,0.18178551062690632,0.4233944107232654,0.5218729747245625
54,2000,0.0366175879706859,190,25,100,1.0,1.0,0.17243162424540875,0.17715540736682434,0.42486772088863917,0.5183084899546339
55,2000,0.03647063594355402,170,25,110,1.0,1.0,0.15060828337259718,0.17442879232654201,0.42146445686312967,0.5194426441996112
56,1900,0.034695978354292105,190,23,100,1.0,1.0,0.08104291220047177,0.21578000946609593,0.42908682953063454,0.5191186001296176
57,1900,0.03969746305489076,180,23,100,1.0,1.0,0.06312978664197011,0.3872158229364198,0.4278160254935239,0.5189565780946209
58,1900,0.04038069924630262,180,23,100,1.0,1.0,0.06079892498625015,0.38344650639605055,0.4239886345886365,0.5173363577446533
59,1900,0.03966699659323276,190,20,100,1.0,1.0,0.027236472635438734,0.22935830334454493,0.4215810786856169,0.5170123136746597
60,1800,0.04501707475571737,180,21,110,1.0,1.0,0.08915647049262886,0.43926777995642474,0.42504044872648444,0.5207388204795852
61,1800,0.049050641872065474,180,21,110,1.0,1.0,0.07843300707789765,0.4101822186456297,0.4276312769882951,0.5220349967595593
62,1800,0.04723664051395013,180,21,110,1.0,1.0,0.07552665574009275,0.4381431106026377,0.41817186317396776,0.5183084899546339
63,1900,0.051066549771037896,170,18,110,1.0,1.0,0.04377242191003455,0.3820593536971717,0.4264694997085418,0.522197018794556
64,1900,0.05464395570207385,160,18,110,1.0,1.0,0.047997448995544735,0.40766947973038037,0.4254193959796657,0.5205767984445885
65,1900,0.05520510281667193,160,19,110,1.0,1.0,0.0488013469245235,0.38331085854767777,0.4205792790461711,0.5196046662346079
66,2000,0.05158349173331245,170,18,150,1.0,1.0,0.009759293392642511,0.2661969216366484,0.4218882666399417,0.5231691510045366
67,1700,0.059971275150543964,150,18,160,1.0,1.0,0.027074011427208135,0.419913938292133,0.42215639675056477,0.5236552171095269
68,1900,0.049004925764580584,160,17,110,1.0,0.9,0.01600519449462541,0.2157902432556645,0.4192000718485807,0.520252754374595
69,1900,0.03325327009105882,170,18,100,1.0,1.0,0.03808461940276055,0.4992611758293206,0.42652585375209834,0.5176604018146468
70,1800,0.033629001251179944,170,20,100,1.0,1.0,0.03795106489708912,0.34782012768976583,0.427161576242314,0.5200907323395982
71,1800,0.03350541872509297,170,20,100,1.0,1.0,0.035845983103501976,0.33355589652066386,0.4257059527570377,0.5197666882696047
72,2000,0.032006122132733336,180,19,100,1.0,1.0,0.06837571574438978,0.47178416616983865,0.42700544432792303,0.5197666882696047
73,1700,0.030227052224367387,170,19,100,1.0,1.0,0.019009258608289847,0.4779224596470477,0.4201143493969732,0.5174983797796501
74,1800,0.031422396861053345,180,20,100,1.0,1.0,0.06089400708992505,0.49384562018946365,0.4234399906320662,0.5171743357096565
75,1900,0.033248037109906994,190,17,100,1.0,0.9,0.004090527361292417,0.36664753368644654,0.4252011167035011,0.5197666882696047
76,2000,0.03034282485249458,170,19,100,1.0,1.0,0.11925323180756404,0.27729686903385986,0.4281562142586866,0.5205767984445885
77,2000,0.03030730071564699,180,19,100,1.0,0.9,0.10900329081661314,0.28438635310991567,0.42501942206371474,0.5165262475696695
78,2000,0.029469345637449355,180,20,100,1.0,1.0,0.12572346578717378,0.25600148394541256,0.42761751443757207,0.5200907323395982
79,2000,0.02955958825528905,180,20,100,1.0,1.0,0.12681047706111115,0.15488349280709782,0.4263356920006518,0.5207388204795852
80,1800,0.03177691276999913,180,22,180,1.0,1.0,0.07280875942888117,0.20872671973145204,0.4207284749421582,0.5238172391445236
81,2000,0.026852321779145955,170,19,100,1.0,1.0,0.08845685492588465,0.2496525099377492,0.4222914102553621,0.5166882696046662
82,1900,0.03277645425815036,190,20,100,1.0,1.0,0.05675186152072543,0.2969499476574207,0.4259306556229295,0.5191186001296176
83,2000,0.031391252619328666,170,21,100,1.0,1.0,0.03447292056707193,0.36090944358258875,0.42302601707354287,0.5179844458846403
84,1900,0.03769759564734043,190,21,100,1.0,1.0,0.02463715451212936,0.4914837683300787,0.4279517691724997,0.5192806221646143
85,1700,0.037672564821248526,190,21,100,1.0,1.0,0.022309769166787136,0.2566741944447124,0.4236076436043117,0.5178224238496435
86,1800,0.03936691634074058,180,22,110,1.0,1.0,0.09722005432453018,0.3172602427508413,0.4230694706312342,0.5212248865845756
87,1900,0.03500669194807639,190,20,100,1.0,0.9,0.013866611404557317,0.41097776241661077,0.4258970544930695,0.5197666882696047
88,1800,0.04159950012261127,180,21,200,1.0,1.0,0.23106156704854275,0.0016773864310009857,0.41475419028584054,0.5231691510045366
89,2000,0.029168674545295363,190,22,100,0.9,1.0,0.071831935697603,0.10552122974289545,0.42298138942236774,0.5189565780946209
90,1800,0.033930724293371656,190,20,110,1.0,1.0,0.025571862848730205,0.14543733859102304,0.4256048388868794,0.5205767984445885
91,1900,0.035598525028114676,170,19,100,1.0,1.0,0.038115817339293714,0.34375030076479934,0.42374025443518093,0.5176604018146468
92,1900,0.03821612071463703,180,16,100,1.0,1.0,0.14053626438124056,0.4969287614575084,0.41952381870518124,0.5157161373946857
93,2000,0.03240195865395924,170,18,100,1.0,1.0,0.05661096394906459,0.4405158585139026,0.4248997692418148,0.518146467919637
94,1900,0.03096014327439308,160,19,100,1.0,1.0,0.03088535039748132,0.007137660639222432,0.4252458468694971,0.5204147764095917
95,2000,0.03585711748711394,180,19,110,1.0,1.0,0.049366268534466386,0.20247156766416505,0.42388572308598294,0.5187945560596241
96,500,0.029528392687084414,180,22,100,1.0,1.0,0.02176561550638948,0.2871640455099464,0.4271856107881111,0.5199287103046014
97,900,0.02754300002836761,180,22,100,1.0,0.9,0.006801891052195112,0.2689915038445533,0.4241357134597851,0.5176604018146468
98,500,0.028433228747501108,190,23,110,0.9,1.0,0.02026602256878123,0.22706609894153018,0.4259857331870653,0.5199287103046014
99,1800,0.029558645277514006,180,21,100,1.0,1.0,0.19428659219824881,0.3541090104866115,0.4205764307431971,0.5157161373946857
100,600,0.03062497527076594,180,21,110,1.0,1.0,0.11065173229619815,0.003920541324469368,0.42811776177060423,0.5197666882696047
101,500,0.03412545389068067,180,21,110,1.0,1.0,0.10993311317773069,0.0010389031264581104,0.4258918776190083,0.5199287103046014
102,600,0.031003989723127665,190,22,100,1.0,1.0,0.07427564900419684,0.00419777142260335,0.42638653148812605,0.5196046662346079
103,600,0.02792811190610206,180,20,110,1.0,1.0,0.6251376702161101,0.00255283052727338,0.4246238557373189,0.5213869086195723
104,800,0.029861941687661722,170,21,100,1.0,1.0,0.2764109602355845,0.32083721821736133,0.4257638188155157,0.5194426441996112
105,700,0.044165729020605934,190,23,110,1.0,1.0,0.15392190743863554,0.010151559929510025,0.4207983968625317,0.5194426441996112
106,2000,0.0257862543011486,180,22,100,1.0,1.0,0.12732489142654843,0.008163982297174901,0.42539866694263767,0.5192806221646143
107,500,0.02893141230610276,180,21,100,1.0,1.0,0.010546330662672436,0.41094166176736113,0.42715293757537237,0.5204147764095917
108,500,0.027299828624901074,190,21,170,0.9,1.0,0.009502978844291353,0.01671896350484427,0.4182195245810643,0.5225210628645496
109,500,0.028616782705340568,170,22,120,1.0,1.0,0.0053412607729602,0.2868388718393477,0.4245072735886586,0.5212248865845756
110,700,0.03072577461369762,190,20,110,1.0,0.9,0.012264454877937538,0.4055761329094111,0.4232024871897393,0.5200907323395982
111,600,0.028915917147222477,180,21,100,1.0,1.0,0.09681396308778913,0.2425329982846517,0.4235203205822636,0.5183084899546339
