param,spearman_w_f1
colsample_bytree,0.44183546508578764
subsample,0.22091385414961023
max_depth,0.09870532237910906
gamma,0.09776799644199911
learning_rate,0.04784524046131011
reg_alpha,-0.00688103872025968
reg_lambda,-0.04289722222430556
n_estimators,-0.054502155343488554
