param,spearman_w_f1
max_depth,0.43892548353237365
colsample_bytree,0.3996049487116885
subsample,0.2828127584868323
reg_lambda,0.0627213471803368
reg_alpha,0.047649079412269854
learning_rate,-0.0454965923741481
n_estimators,-0.059919204958751617
gamma,-0.10007552501888126
