param,spearman_w_f1
max_depth,0.4050657609936001
colsample_bytree,0.37060336263830723
min_child_samples,0.32345818656786274
num_leaves,0.2441523400074554
reg_alpha,0.06678397969599492
subsample,0.03945260238842063
n_estimators,0.0189535195879134
reg_lambda,-0.0391814767953692
learning_rate,-0.06544108786027196
