trial,d_model,n_heads,n_layers,ff_mult,dropout,attn_dropout,token_dropout,lr,weight_decay,warmup_ratio,min_lr,step_size,gamma,label_smoothing,focal_gamma,focal_alpha,batch_size,epochs,grad_clip,patience,f1_macro,accuracy
0,192,6,3,2,0.3,0.2,0.2,0.00010485387725194633,0.0008123245085588687,0.2,1.6305687346221478e-06,5,0.5,0.0,2.0,0.4,256,2,1.0,10,0.33980074214960804,0.47099805573558
1,384,2,2,8,0.3,0.25,0.1,0.00012521954287060397,0.00011290133559092664,0.1,1.3244581340099348e-06,10,0.5,0.1,1.5,0.6000000000000001,256,2,3.0,5,0.3638657821258356,0.4964355152300713
2,192,12,4,4,0.05,0.25,0.1,0.0001909565280104537,4.247058562261871e-05,0.0,6.341572775495279e-06,5,0.9,0.1,1.0,0.2,448,2,4.0,20,0.3605961926951597,0.49125081011017496
