trial,d_model,n_heads,n_layers,ff_mult,dropout,attn_dropout,token_dropout,lr,weight_decay,warmup_ratio,min_lr,step_size,gamma,label_smoothing,focal_gamma,batch_size,epochs,grad_clip,patience,alpha0,alpha1,alpha2,alpha_vec,f1_macro,f1_c0,f1_c1,f1_c2,precision_c0,precision_c1,precision_c2,recall_c0,recall_c1,recall_c2,precision_macro,recall_macro,accuracy
0,192,8,10,4,0.3,0.25,0.05,2.3102018878452926e-05,6.981203125151329e-05,0.04,2.310201887845293e-06,5,0.2,0.1,1.8,128,40,0.0,15,0.8,0.8500000000000001,0.95,"0.8000,0.8500,0.9500",0.4530659175934196,0.5692897571663319,0.31339792849983295,0.47651006711409394,0.5957202904088651,0.35157421289355323,0.4155785682125169,0.5451048951048951,0.28270042194092826,0.55837870538415,0.4542910238383117,0.4620613408099912,0.47812702527543743
7,192,4,6,4,0.25,0.2,0.09999999999999998,8.798929749689021e-05,5.203669992708277e-05,0.08,5.7648106701146705e-05,10,0.4,0.1,1.5,128,40,1.0,15,0.9,0.5,0.6,"0.9000,0.5000,0.6000",0.3967842746428161,0.6587252475247525,0.0,0.5316275764036958,0.5907325194228635,0.0,0.4369158878504673,0.7444055944055944,0.0,0.6787658802177858,0.3425494690911102,0.4743904915411267,0.5267336357744653
10,192,8,12,4,0.3,0.3,0.0,1.0580370461185827e-05,0.00014018824766925917,0.01,1.0580370461185827e-06,5,0.1,0.1,3.0,128,40,0.0,15,0.5,1.1,1.3,"0.5000,1.1000,1.3000",0.4607863930997636,0.5438066465256798,0.34462729912875123,0.4939252336448598,0.6413301662707839,0.37083333333333335,0.4023601065854587,0.47202797202797203,0.321880650994575,0.6394434361766486,0.47150786872985867,0.47778401973306517,0.4765068049254699
11,192,8,12,4,0.3,0.3,0.0,1.1672711987380448e-05,0.0001303654297773545,0.01,1.167271198738045e-06,5,0.1,0.1,3.0,128,40,0.0,15,0.55,1.1,1.4,"0.5500,1.1000,1.4000",0.45820200713617476,0.5378286172988159,0.3502648800249299,0.4865125240847784,0.6311822892133773,0.36258064516129035,0.40416166466586634,0.46853146853146854,0.3387582881253767,0.6110102843315185,0.46597486634684465,0.47276668032945457,0.47180816591056385
12,192,8,12,5,0.05,0.3,0.0,1.2354634851888936e-05,0.00041134921850821573,0.01,1.0525907232242485e-05,5,0.1,0.1,3.0,128,40,0.0,15,0.55,1.3,1.5,"0.5500,1.3000,1.5000",0.4699831069675531,0.5112322791712105,0.3675832127351664,0.5311338289962825,0.6794202898550724,0.35356347438752783,0.43115805356469256,0.4097902097902098,0.38276069921639544,0.691470054446461,0.48804727260243097,0.49467365448435546,0.4779650032404407
13,192,8,12,6,0.0,0.05,0.0,1.1335431394085092e-05,0.0010684913897264987,0.01,1.0064711662897572e-05,5,0.1,0.1,2.9000000000000004,128,40,0.0,15,1.4,1.5,1.5,"1.4000,1.5000,1.5000",0.46501056949716374,0.5921992309100897,0.2919655667144907,0.5108669108669108,0.621683967704729,0.36049601417183347,0.4283374283374283,0.5653846153846154,0.24532851115129597,0.632788868723533,0.4701724700713303,0.48116733175314813,0.49740764744005184
14,192,12,9,6,0.0,0.0,0.15000000000000002,0.00042801567536378406,0.0012389412597789778,0.03,1.0286222583771157e-05,5,0.30000000000000004,0.1,0.1,128,40,1.0,15,1.4500000000000002,1.5,1.5,"1.4500,1.5000,1.5000",0.4489441360768636,0.6109052408681842,0.20017182130584193,0.5357553460565647,0.6166726042037762,0.3482810164424514,0.43212166172106825,0.6052447552447553,0.1404460518384569,0.7047791893526921,0.46569176078909863,0.48348999881196814,0.5069669475048607
15,192,6,12,6,0.0,0.05,0.1,4.334285692550526e-05,0.0008138781842722745,0.06999999999999999,2.074467612340009e-05,10,0.1,0.1,2.2,128,40,2.0,15,1.4,1.5,1.15,"1.4000,1.5000,1.1500",0.4724644705362168,0.5584725536992841,0.3456334563345633,0.5132874015748031,0.6476014760147601,0.35279347143753925,0.43260058067192037,0.4909090909090909,0.3387582881253767,0.6309739866908651,0.47766517604140657,0.4868804552417776,0.48752430330524954
16,192,6,4,5,0.1,0.1,0.15000000000000002,4.209250474164251e-05,0.0005944007901131957,0.08,2.1509067853344627e-05,10,0.2,0.1,2.1,128,40,2.0,15,1.2000000000000002,1.3,1.1,"1.2000,1.3000,1.1000",0.46754976728950376,0.5853749072011878,0.2992957746478873,0.5179786200194364,0.6238132911392406,0.3598645215918713,0.43280552172147785,0.5513986013986014,0.2561784207353828,0.6448880822746521,0.4721611114841966,0.48415503480287875,0.4970836033700583
17,192,6,10,5,0.1,0.15000000000000002,0.1,6.0235327596230404e-05,0.0026118999217891294,0.060000000000000005,2.3512592841602904e-05,10,0.5,0.1,2.3000000000000003,128,40,2.0,15,1.15,1.3,1.1,"1.1500,1.3000,1.1000",0.4764339631390297,0.5495568090249798,0.3510204081632653,0.5287246722288439,0.6482889733840305,0.36631716906946266,0.43627065302911094,0.47692307692307695,0.3369499698613623,0.6709013914095584,0.48362559849420134,0.4949248127313326,0.49125081011017496
