trial,iterations,learning_rate,depth,l2_leaf_reg,border_count,random_strength,bagging_temperature,weights_0,weights_1,weights_2,f1_macro
0,1600,0.13,7,14.0,208,0.0,0.47,1.1,4.0,3.4000000000000004,0.4523632116369334
1,1600,0.13,7,14.0,208,0.0,0.47,1.4,3.5,3.6,0.47715599814236614
2,1600,0.13,7,14.0,208,0.0,0.47,1.8,2.9000000000000004,3.3,0.50173681112295
3,1600,0.13,7,14.0,208,0.0,0.47,1.3,2.6,1.7,0.48781730952542895
4,1600,0.13,7,14.0,208,0.0,0.47,1.1,2.7,3.2,0.4797167677387848
5,1600,0.13,7,14.0,208,0.0,0.47,1.4,2.5,3.9000000000000004,0.49606614019015227
6,1600,0.13,7,14.0,208,0.0,0.47,1.3,2.7,3.9000000000000004,0.49473953548482447
7,1600,0.13,7,14.0,208,0.0,0.47,1.1,3.6000000000000005,1.7,0.40371250421804517
8,1600,0.13,7,14.0,208,0.0,0.47,2.1,3.5,3.0,0.5037470552270564
9,1600,0.13,7,14.0,208,0.0,0.47,2.2,3.1,2.1,0.4990511031433182
10,1600,0.13,7,14.0,208,0.0,0.47,2.2,3.5,2.6,0.5029442677057663
11,1600,0.13,7,14.0,208,0.0,0.47,2.2,3.4000000000000004,2.6,0.5009500379875893
12,1600,0.13,7,14.0,208,0.0,0.47,1.9,3.9000000000000004,2.7,0.5020656770795903
13,1600,0.13,7,14.0,208,0.0,0.47,2.0,3.3000000000000003,2.3,0.5032571188357693
14,1600,0.13,7,14.0,208,0.0,0.47,1.9,3.2,2.2,0.5032571188357693
15,1600,0.13,7,14.0,208,0.0,0.47,1.7000000000000002,3.8000000000000003,3.0,0.4998386629802174
16,1600,0.13,7,14.0,208,0.0,0.47,2.0,2.3000000000000003,2.3,0.46333245842143156
17,1600,0.13,7,14.0,208,0.0,0.47,2.0,3.2,2.9000000000000004,0.5042756532620922
18,1600,0.13,7,14.0,208,0.0,0.47,1.7000000000000002,3.0,2.9000000000000004,0.5029087376276319
19,1600,0.13,7,14.0,208,0.0,0.47,2.0,3.7,3.1,0.5047352984360686
20,1600,0.13,7,14.0,208,0.0,0.47,1.6,3.8000000000000003,3.6,0.4820405068034948
21,1600,0.13,7,14.0,208,0.0,0.47,2.1,3.7,3.0,0.5049896068394447
22,1600,0.13,7,14.0,208,0.0,0.47,2.0,3.7,3.1,0.5047352984360686
23,1600,0.13,7,14.0,208,0.0,0.47,2.1,3.7,3.2,0.5024898096207973
24,1600,0.13,7,14.0,208,0.0,0.47,1.8,4.0,3.5,0.493023642442185
25,1600,0.13,7,14.0,208,0.0,0.47,2.1,3.7,3.1,0.5047352984360686
26,1600,0.13,7,14.0,208,0.0,0.47,1.9,3.7,2.8,0.4984909160160719
27,1600,0.13,7,14.0,208,0.0,0.47,1.6,3.9000000000000004,2.5,0.4559325351070476
28,1600,0.13,7,14.0,208,0.0,0.47,2.1,3.4000000000000004,3.7,0.5010173045839166
29,1600,0.13,7,14.0,208,0.0,0.47,1.8,4.0,3.4000000000000004,0.4927480823922643
30,1600,0.13,7,14.0,208,0.0,0.47,2.0,3.6000000000000005,3.4000000000000004,0.5023852309164009
31,1600,0.13,7,14.0,208,0.0,0.47,2.1,3.7,3.1,0.5047352984360686
32,1600,0.13,7,14.0,208,0.0,0.47,2.2,3.8000000000000003,3.1,0.5054357152743303
33,1600,0.13,7,14.0,208,0.0,0.47,2.2,3.9000000000000004,3.3,0.5047312271177598
34,1600,0.13,7,14.0,208,0.0,0.47,1.9,3.6000000000000005,2.8,0.5036133868281482
35,1600,0.13,7,14.0,208,0.0,0.47,2.0,3.8000000000000003,3.2,0.5019847525629283
36,1600,0.13,7,14.0,208,0.0,0.47,2.2,3.4000000000000004,3.0,0.5022977501071957
37,1600,0.13,7,14.0,208,0.0,0.47,1.5,4.0,3.7,0.4675222750993299
38,1600,0.13,7,14.0,208,0.0,0.47,1.8,3.5,3.3,0.5005802063270416
39,1600,0.13,7,14.0,208,0.0,0.47,2.1,3.8000000000000003,3.1,0.5031992314658469
40,1600,0.13,7,14.0,208,0.0,0.47,1.7000000000000002,3.6000000000000005,4.0,0.497840842657083
41,1600,0.13,7,14.0,208,0.0,0.47,2.1,3.7,3.1,0.5047352984360686
42,1600,0.13,7,14.0,208,0.0,0.47,2.2,3.9000000000000004,3.3,0.5047312271177598
43,1600,0.13,7,14.0,208,0.0,0.47,2.1,2.8000000000000003,2.7,0.48993088093975273
44,1600,0.13,7,14.0,208,0.0,0.47,1.2,3.5,2.9000000000000004,0.46183005523913073
45,1600,0.13,7,14.0,208,0.0,0.47,2.0,3.7,3.1,0.5047352984360686
46,1600,0.13,7,14.0,208,0.0,0.47,2.2,3.6000000000000005,3.2,0.5036525086982042
47,1600,0.13,7,14.0,208,0.0,0.47,1.9,3.4000000000000004,3.5,0.500635594221115
48,1600,0.13,7,14.0,208,0.0,0.47,1.0,3.8000000000000003,3.0,0.4500995662549621
49,1600,0.13,7,14.0,208,0.0,0.47,2.1,3.3000000000000003,1.9,0.4609084571445121
50,1600,0.13,7,14.0,208,0.0,0.47,2.2,2.2,2.5,0.4410716974653961
51,1600,0.13,7,14.0,208,0.0,0.47,2.0,3.7,3.1,0.5047352984360686
52,1600,0.13,7,14.0,208,0.0,0.47,2.1,3.9000000000000004,2.7,0.5032571188357693
53,1600,0.13,7,14.0,208,0.0,0.47,2.1,3.6000000000000005,3.0,0.5046604254501692
54,1600,0.13,7,14.0,208,0.0,0.47,2.0,3.8000000000000003,2.8,0.49953052977610124
55,1600,0.13,7,14.0,208,0.0,0.47,2.2,3.7,3.2,0.5030162313718767
56,1600,0.13,7,14.0,208,0.0,0.47,1.9,3.5,3.1,0.5029218145485367
57,1600,0.13,7,14.0,208,0.0,0.47,2.1,2.5,2.9000000000000004,0.4648066368740242
58,1600,0.13,7,14.0,208,0.0,0.47,2.0,4.0,3.3,0.5041418460188088
59,1600,0.13,7,14.0,208,0.0,0.47,1.4,3.3000000000000003,3.5,0.47691109416463834
60,1600,0.13,7,14.0,208,0.0,0.47,2.2,3.5,2.6,0.5029442677057663
61,1600,0.13,7,14.0,208,0.0,0.47,2.1,3.7,3.1,0.5047352984360686
62,1600,0.13,7,14.0,208,0.0,0.47,2.1,3.7,3.0,0.5049896068394447
63,1600,0.13,7,14.0,208,0.0,0.47,2.0,3.8000000000000003,2.9000000000000004,0.500164596838348
64,1600,0.13,7,14.0,208,0.0,0.47,2.2,3.9000000000000004,3.0,0.504043487514092
65,1600,0.13,7,14.0,208,0.0,0.47,1.9,3.6000000000000005,2.8,0.5036133868281482
66,1600,0.13,7,14.0,208,0.0,0.47,2.1,3.0,3.4000000000000004,0.5001172375145249
67,1600,0.13,7,14.0,208,0.0,0.47,1.8,3.8000000000000003,3.2,0.498800721604786
68,1600,0.13,7,14.0,208,0.0,0.47,2.0,3.6000000000000005,3.0,0.5037048371929941
69,1600,0.13,7,14.0,208,0.0,0.47,2.1,3.7,3.2,0.5024898096207973
