trial,param_iterations,param_learning_rate,param_depth,param_l2_leaf_reg,param_border_count,param_random_strength,param_bagging_temperature,f1_macro,accuracy
0,1100,0.18,8,12.0,80,0.0,0.5,0.4817239503075766,0.49789371354504214
1,1800,0.15,8,1.0,248,0.4,0.55,0.48357587852675793,0.49773169151004537
2,800,0.12,6,10.0,136,0.1,0.75,0.48008377511099853,0.4956254050550875
3,800,0.13,7,9.0,208,0.1,0.7,0.48097191518624527,0.4957874270900843
4,1400,0.11,7,4.0,56,0.5,0.9,0.4818973727958724,0.4964355152300713
5,1800,0.13,6,14.0,136,0.0,0.7,0.48368943746069665,0.499351911860013
6,600,0.18,6,13.0,112,0.30000000000000004,0.7,0.4792495459089377,0.49416720674011666
7,800,0.18,8,18.0,232,0.30000000000000004,0.9,0.4796305161295919,0.49497731691510044
8,700,0.12,6,7.0,128,0.1,0.8500000000000001,0.4783324594883734,0.4935191186001296
9,1100,0.13,7,3.0,208,0.0,0.9,0.48267698294518174,0.4969215813350616
10,2000,0.15,6,18.0,176,0.2,0.6,0.47906536191642646,0.49416720674011666
11,1900,0.15,8,15.0,168,0.5,0.5,0.47921301205531036,0.4935191186001296
12,1700,0.16,8,1.0,96,0.4,0.6,0.47762055410240417,0.4931950745301361
13,1600,0.14,7,6.0,248,0.4,0.6,0.47915914823076394,0.4938431626701231
14,1800,0.16,7,14.0,160,0.4,0.8,0.47995651355595,0.495301360985094
15,1500,0.14,8,16.0,200,0.2,0.55,0.47815672570998685,0.4928710304601426
16,1200,0.16,6,8.0,184,0.30000000000000004,0.65,0.47860216493528746,0.4931950745301361
17,2000,0.13,7,12.0,128,0.2,0.75,0.4812429073154802,0.49611147116007775
18,1700,0.11,7,1.0,152,0.4,0.65,0.47853824183416344,0.4935191186001296
19,1400,0.16999999999999998,6,11.0,232,0.0,0.55,0.48130052077225804,0.49659753726506806
20,1800,0.14,8,4.0,80,0.5,0.8,0.4794774503288117,0.49465327284510696
21,1000,0.13,7,3.0,216,0.0,0.8,0.48094819032877806,0.4957874270900843
22,1000,0.12,6,3.0,248,0.1,0.65,0.4812371888774367,0.4962734931950745
23,1300,0.13,7,1.0,192,0.0,0.8500000000000001,0.4821857494827466,0.4970836033700583
24,1600,0.14,8,6.0,224,0.0,0.75,0.4794937173977536,0.4951393389500972
25,1300,0.15,7,16.0,248,0.1,0.55,0.480194631473037,0.495949449125081
26,1100,0.12,7,3.0,144,0.0,0.7,0.48291943217266714,0.4975696694750486
27,1900,0.12,8,6.0,144,0.2,0.7,0.4790011904097515,0.4944912508101102
28,1500,0.11,6,2.0,112,0.30000000000000004,0.7,0.48047939111851273,0.4956254050550875
29,1100,0.12,8,5.0,104,0.0,0.65,0.4798963916758318,0.4951393389500972
30,1000,0.16999999999999998,7,19.0,56,0.1,0.5,0.4795511374728781,0.4948152948801037
31,1100,0.13,7,3.0,160,0.0,0.75,0.48045029874305606,0.49546338302009074
32,1200,0.13,7,2.0,136,0.0,0.8500000000000001,0.48093021537082215,0.495301360985094
33,900,0.12,7,10.0,208,0.1,0.75,0.4824274419594113,0.4970836033700583
34,1200,0.14,6,8.0,184,0.0,0.6,0.481156471169883,0.4964355152300713
35,900,0.11,7,4.0,144,0.1,0.9,0.48134078280793696,0.4964355152300713
36,1400,0.13,7,2.0,120,0.0,0.7,0.4817164912715868,0.4967595593000648
37,1800,0.15,6,5.0,88,0.1,0.8,0.47850905097796437,0.49368114063512636
38,600,0.12,8,13.0,232,0.5,0.7,0.480596208855598,0.4943292287751134
