trial,iterations,learning_rate,depth,l2_leaf_reg,border_count,random_strength,bagging_temperature,weights_0,weights_1,weights_2,f1_macro
0,1600,0.13,7,14.0,208,0.0,0.7,1.4,2.9000000000000004,2.4000000000000004,0.4776432161958977
1,1600,0.13,7,14.0,208,0.0,0.7,2.0,0.9,0.9,0.2507840225026193
2,1600,0.13,7,14.0,208,0.0,0.7,0.6,2.7,2.0,0.436695199583945
3,1600,0.13,7,14.0,208,0.0,0.7,2.3,0.5,3.0,0.4012612080093659
4,1600,0.13,7,14.0,208,0.0,0.7,2.6,1.0,0.9,0.3288004193995618
5,1600,0.13,7,14.0,208,0.0,0.7,0.9,1.2000000000000002,1.8,0.4644228423558934
6,1600,0.13,7,14.0,208,0.0,0.7,1.6,1.2000000000000002,2.0,0.4015315866932973
7,1600,0.13,7,14.0,208,0.0,0.7,0.8,1.2000000000000002,1.4,0.4787590544013492
8,1600,0.13,7,14.0,208,0.0,0.7,1.6,2.5,1.0,0.37547324612068717
9,1600,0.13,7,14.0,208,0.0,0.7,1.8,2.0,0.6,0.3195370999672422
10,1600,0.13,7,14.0,208,0.0,0.7,1.0,1.7000000000000002,1.4,0.4837060283051668
11,1600,0.13,7,14.0,208,0.0,0.7,1.1,1.8,1.4,0.48393740895191023
12,1600,0.13,7,14.0,208,0.0,0.7,1.1,1.8,1.4,0.48393740895191023
13,1600,0.13,7,14.0,208,0.0,0.7,1.2000000000000002,1.9000000000000001,1.4,0.48527890850365135
14,1600,0.13,7,14.0,208,0.0,0.7,1.3,2.2,2.4000000000000004,0.47918323675819946
15,1600,0.13,7,14.0,208,0.0,0.7,0.5,1.6,1.3,0.4403677786994842
16,1600,0.13,7,14.0,208,0.0,0.7,1.3,2.2,1.6,0.48166436219825676
17,1600,0.13,7,14.0,208,0.0,0.7,2.9000000000000004,1.6,1.1,0.35124229612403274
18,1600,0.13,7,14.0,208,0.0,0.7,2.1,2.4000000000000004,0.5,0.32370747960697704
19,1600,0.13,7,14.0,208,0.0,0.7,0.7,2.0,1.8,0.43782631268585903
20,1600,0.13,7,14.0,208,0.0,0.7,1.1,1.4,2.1,0.4592776418171846
21,1600,0.13,7,14.0,208,0.0,0.7,1.1,1.9000000000000001,1.6,0.4827561778278919
22,1600,0.13,7,14.0,208,0.0,0.7,1.2000000000000002,1.9000000000000001,1.1,0.4498658513252977
23,1600,0.13,7,14.0,208,0.0,0.7,1.5,1.5,1.3,0.43669549981644346
24,1600,0.13,7,14.0,208,0.0,0.7,0.8,2.2,1.6,0.43896343839701896
25,1600,0.13,7,14.0,208,0.0,0.7,1.8,1.9000000000000001,0.7,0.31559775815438723
26,1600,0.13,7,14.0,208,0.0,0.7,1.0,1.4,1.2000000000000002,0.4832061862872279
27,1600,0.13,7,14.0,208,0.0,0.7,1.4,2.4000000000000004,1.6,0.4760057595361078
28,1600,0.13,7,14.0,208,0.0,0.7,1.2000000000000002,1.8,2.3,0.47747019115767314
29,1600,0.13,7,14.0,208,0.0,0.7,0.5,2.6,2.8000000000000003,0.35796519902233426
30,1600,0.13,7,14.0,208,0.0,0.7,1.5,2.9000000000000004,1.4,0.4271114136310385
31,1600,0.13,7,14.0,208,0.0,0.7,1.0,1.6,1.4,0.48239572507507483
32,1600,0.13,7,14.0,208,0.0,0.7,0.9,1.7000000000000002,0.8,0.40633042134062985
33,1600,0.13,7,14.0,208,0.0,0.7,1.1,2.1,1.5,0.4827674647255673
34,1600,0.13,7,14.0,208,0.0,0.7,0.8,1.8,1.9000000000000001,0.46167197589772413
35,1600,0.13,7,14.0,208,0.0,0.7,0.7,0.8,1.1,0.4534296748345626
36,1600,0.13,7,14.0,208,0.0,0.7,2.0,1.4,0.9,0.3539957440261741
37,1600,0.13,7,14.0,208,0.0,0.7,1.3,1.8,1.7000000000000002,0.4759680190621863
38,1600,0.13,7,14.0,208,0.0,0.7,1.0,1.1,1.3,0.4489718617329747
39,1600,0.13,7,14.0,208,0.0,0.7,1.7000000000000002,1.7000000000000002,2.1,0.4386834803339427
40,1600,0.13,7,14.0,208,0.0,0.7,1.4,0.7,1.2000000000000002,0.39963532220736314
41,1600,0.13,7,14.0,208,0.0,0.7,1.0,1.4,1.2000000000000002,0.4832061862872279
42,1600,0.13,7,14.0,208,0.0,0.7,0.9,1.3,1.5,0.4782957636920129
43,1600,0.13,7,14.0,208,0.0,0.7,0.7,1.5,1.0,0.4772457354964414
44,1600,0.13,7,14.0,208,0.0,0.7,1.2000000000000002,2.0,1.2000000000000002,0.45919265830077993
45,1600,0.13,7,14.0,208,0.0,0.7,0.6,1.6,1.4,0.44907885116685026
46,1600,0.13,7,14.0,208,0.0,0.7,2.4000000000000004,1.0,1.7000000000000002,0.39559546686375957
47,1600,0.13,7,14.0,208,0.0,0.7,0.9,2.1,1.0,0.3924817369448192
48,1600,0.13,7,14.0,208,0.0,0.7,1.5,1.3,1.5,0.40176882013633347
49,1600,0.13,7,14.0,208,0.0,0.7,1.3,2.3,1.9000000000000001,0.4820351252312148
50,1600,0.13,7,14.0,208,0.0,0.7,3.0,1.7000000000000002,1.3,0.36821970720866837
51,1600,0.13,7,14.0,208,0.0,0.7,1.0,1.5,1.2000000000000002,0.485525359343877
52,1600,0.13,7,14.0,208,0.0,0.7,1.1,1.5,0.9,0.46225851666812323
53,1600,0.13,7,14.0,208,0.0,0.7,0.9,1.9000000000000001,1.2000000000000002,0.47039422039540657
54,1600,0.13,7,14.0,208,0.0,0.7,1.2000000000000002,1.3,1.5,0.4450132840512597
55,1600,0.13,7,14.0,208,0.0,0.7,1.0,1.6,1.1,0.4839228773366602
56,1600,0.13,7,14.0,208,0.0,0.7,0.6,1.6,1.1,0.4416531973164566
57,1600,0.13,7,14.0,208,0.0,0.7,0.8,2.1,1.3,0.4284586761542095
58,1600,0.13,7,14.0,208,0.0,0.7,1.1,2.0,0.8,0.37864205842675597
59,1600,0.13,7,14.0,208,0.0,0.7,1.6,1.8,1.7000000000000002,0.4520549969227663
60,1600,0.13,7,14.0,208,0.0,0.7,1.4,1.9000000000000001,1.4,0.4723754400881428
61,1600,0.13,7,14.0,208,0.0,0.7,1.0,1.5,1.0,0.4771381425248051
62,1600,0.13,7,14.0,208,0.0,0.7,1.0,1.7000000000000002,1.1,0.4722101123918747
63,1600,0.13,7,14.0,208,0.0,0.7,1.2000000000000002,1.4,1.3,0.45728263605586283
64,1600,0.13,7,14.0,208,0.0,0.7,1.1,1.2000000000000002,1.6,0.4433072662915187
65,1600,0.13,7,14.0,208,0.0,0.7,0.8,1.6,1.4,0.47865391649635997
66,1600,0.13,7,14.0,208,0.0,0.7,1.3,1.8,1.2000000000000002,0.4738853612603169
67,1600,0.13,7,14.0,208,0.0,0.7,0.7,1.5,0.8,0.43241516472874425
68,1600,0.13,7,14.0,208,0.0,0.7,1.0,1.1,2.8000000000000003,0.4269896459412648
69,1600,0.13,7,14.0,208,0.0,0.7,0.9,1.7000000000000002,0.6,0.3572796827953244
70,1600,0.13,7,14.0,208,0.0,0.7,1.2000000000000002,1.9000000000000001,0.9,0.4152980455823765
71,1600,0.13,7,14.0,208,0.0,0.7,1.0,1.4,1.2000000000000002,0.4832061862872279
72,1600,0.13,7,14.0,208,0.0,0.7,1.1,1.3,1.5,0.45291875228801226
73,1600,0.13,7,14.0,208,0.0,0.7,0.8,1.4,1.1,0.48304784178225296
74,1600,0.13,7,14.0,208,0.0,0.7,0.9,1.6,1.3,0.4829037890552364
75,1600,0.13,7,14.0,208,0.0,0.7,1.4,1.5,1.0,0.4255745413589174
76,1600,0.13,7,14.0,208,0.0,0.7,1.0,1.2000000000000002,1.2000000000000002,0.4572381214208387
77,1600,0.13,7,14.0,208,0.0,0.7,1.3,1.7000000000000002,1.6,0.4691353154869377
78,1600,0.13,7,14.0,208,0.0,0.7,1.2000000000000002,1.6,1.4,0.4703749615144464
79,1600,0.13,7,14.0,208,0.0,0.7,0.7,1.8,1.1,0.4207242386041208
80,1600,0.13,7,14.0,208,0.0,0.7,1.1,1.1,1.3,0.43279239687085375
81,1600,0.13,7,14.0,208,0.0,0.7,1.0,1.4,1.2000000000000002,0.4832061862872279
82,1600,0.13,7,14.0,208,0.0,0.7,0.9,1.4,1.4,0.48086861187498126
83,1600,0.13,7,14.0,208,0.0,0.7,1.0,1.5,1.2000000000000002,0.485525359343877
84,1600,0.13,7,14.0,208,0.0,0.7,2.7,2.0,1.5,0.3328011046857539
85,1600,0.13,7,14.0,208,0.0,0.7,1.1,1.3,1.0,0.45636283403138017
86,1600,0.13,7,14.0,208,0.0,0.7,0.6,0.5,1.2000000000000002,0.40702814232989937
87,1600,0.13,7,14.0,208,0.0,0.7,0.9,1.5,1.3,0.4822000112032945
88,1600,0.13,7,14.0,208,0.0,0.7,0.8,1.9000000000000001,1.1,0.4294660585755388
89,1600,0.13,7,14.0,208,0.0,0.7,1.3,1.7000000000000002,1.6,0.4691353154869377
90,1600,0.13,7,14.0,208,0.0,0.7,2.0,1.6,1.4,0.39886273471203726
91,1600,0.13,7,14.0,208,0.0,0.7,1.0,1.5,1.2000000000000002,0.485525359343877
92,1600,0.13,7,14.0,208,0.0,0.7,1.0,1.5,1.0,0.4771381425248051
93,1600,0.13,7,14.0,208,0.0,0.7,1.2000000000000002,3.0,1.2000000000000002,0.37835578387831387
94,1600,0.13,7,14.0,208,0.0,0.7,1.1,1.8,1.1,0.4605545872222429
95,1600,0.13,7,14.0,208,0.0,0.7,1.0,1.2000000000000002,1.3,0.4546274056564618
96,1600,0.13,7,14.0,208,0.0,0.7,1.2000000000000002,1.6,1.8,0.46623631303501667
97,1600,0.13,7,14.0,208,0.0,0.7,0.9,1.3,0.9,0.4831675116224674
98,1600,0.13,7,14.0,208,0.0,0.7,1.1,2.0,1.3,0.4763773982756671
99,1600,0.13,7,14.0,208,0.0,0.7,0.8,1.7000000000000002,1.5,0.4743978191238251
