trial,iterations,learning_rate,depth,l2_leaf_reg,border_count,random_strength,bagging_temperature,weights_0,weights_1,weights_2,f1_macro
0,700,0.0975,10,8.0,218,0.64,0.45,1.3000000000000003,2.2,0.8,0.3523747640321384
1,1000,0.0025,4,7.0,200,0.26,0.13,2.8000000000000003,0.9,0.9,0.21110126956008268
2,2500,0.0128,10,1.0,260,0.56,0.39,2.9000000000000004,1.6,0.6,0.24010374773845755
3,1600,0.029400000000000003,4,18.0,204,0.76,0.52,0.9,1.1,1.6,0.43458670557771434
4,1600,0.0259,5,8.0,59,0.31,0.33,3.0,0.5,1.6,0.26799153162220796
5,1600,0.030600000000000002,5,12.0,49,0.46,0.27,0.30000000000000004,1.7000000000000002,2.0,0.3079291877842029
6,1800,0.019,12,2.0,267,0.63,0.17,2.8000000000000003,1.4000000000000001,1.2000000000000002,0.3113973777008236
7,2300,0.07550000000000001,10,18.0,155,0.24,0.31,1.6,1.9000000000000001,1.6,0.4649828206507907
