trial,param_iterations,param_learning_rate,param_depth,param_l2_leaf_reg,param_border_count,param_random_strength,param_bagging_temperature,f1_macro,accuracy
40,700,0.13,10,17.0,184,1.8,0.0,0.4789674088284608,0.4940051847051199
41,1400,0.13,10,5.0,136,0.4,0.0,0.48102871053353996,0.4964355152300713
42,1400,0.11,10,2.0,96,0.4,0.0,0.4783968743636142,0.4927090084251458
43,1200,0.13999999999999999,9,4.0,120,0.8,0.05,0.48127209840106744,0.4951393389500972
44,1200,0.16999999999999998,9,3.0,128,0.8,0.2,0.4805036989551268,0.49465327284510696
45,1200,0.15,9,19.0,120,1.4000000000000001,0.1,0.4781871846273944,0.49173687621516526
46,1100,0.13999999999999999,9,20.0,248,2.8000000000000003,0.55,0.48068117641316926,0.49465327284510696
47,900,0.18,8,16.0,40,1.2000000000000002,0.05,0.47813228152175385,0.49173687621516526
48,1300,0.16,9,4.0,80,2.2,0.25,0.4810491796374092,0.49465327284510696
49,1000,0.04,10,18.0,144,1.6,0.15000000000000002,0.4787336065232046,0.49222294232015557
50,1500,0.1,8,14.0,104,0.2,0.05,0.4810630344372118,0.4962734931950745
51,1500,0.1,7,15.0,88,0.2,0.05,0.4807743627036872,0.49611147116007775
52,1700,0.1,8,13.0,104,0.0,0.1,0.4812585029026312,0.4967595593000648
53,1700,0.08,7,8.0,120,0.0,0.1,0.4814695736593075,0.4969215813350616
54,1700,0.08,7,8.0,120,0.0,0.15000000000000002,0.481398418841775,0.49659753726506806
55,1900,0.07,7,8.0,128,0.0,0.15000000000000002,0.48174790624128444,0.49724562540505507
56,1900,0.07,7,8.0,128,0.0,0.30000000000000004,0.48059343647957914,0.495949449125081
57,1800,0.08,7,9.0,120,0.2,0.25,0.48057393203787285,0.4957874270900843
58,1900,0.06,6,7.0,152,0.6000000000000001,0.15000000000000002,0.48023711551331205,0.4943292287751134
59,1700,0.08,7,10.0,104,0.0,0.35000000000000003,0.4818270384783256,0.4970836033700583
60,1700,0.06,7,10.0,136,0.4,0.35000000000000003,0.4802073900831236,0.495301360985094
61,1700,0.08,6,8.0,104,0.0,0.35000000000000003,0.4798322810456539,0.4957874270900843
62,1900,0.08,7,6.0,120,0.2,0.45,0.4801146918089985,0.495301360985094
63,1700,0.05,7,11.0,104,0.0,0.2,0.48035718951741274,0.49611147116007775
64,1800,0.07,8,10.0,112,0.8,0.2,0.48139254846299756,0.49546338302009074
65,1900,0.06,8,10.0,112,0.6000000000000001,0.2,0.4807656984694233,0.49546338302009074
66,2000,0.04,6,9.0,120,1.0,0.4,0.47782161339975504,0.4907647440051847
67,1800,0.07,7,7.0,88,0.4,0.30000000000000004,0.4803895850223925,0.495301360985094
68,1600,0.08,7,8.0,136,0.6000000000000001,0.9,0.4795840943452103,0.49497731691510044
69,1800,0.09000000000000001,7,6.0,128,0.8,0.25,0.4806025825039632,0.4948152948801037
70,1900,0.06,6,9.0,152,0.2,0.15000000000000002,0.4805863868474409,0.4957874270900843
71,1700,0.1,8,13.0,112,0.0,0.1,0.4812585029026312,0.4967595593000648
72,1600,0.07,8,11.0,104,0.0,0.1,0.4808439404550328,0.49659753726506806
73,1800,0.11,7,10.0,120,0.2,0.2,0.478248258169506,0.49368114063512636
74,1700,0.09000000000000001,8,12.0,96,0.4,0.45,0.481568401451469,0.4962734931950745
75,1800,0.09000000000000001,8,12.0,232,0.8,0.45,0.47984117698589107,0.49416720674011666
76,1600,0.08,7,8.0,96,0.4,0.55,0.47952355391822515,0.49465327284510696
77,2000,0.07,7,11.0,88,0.6000000000000001,0.5,0.47844451497529855,0.4938431626701231
78,1700,0.05,8,12.0,128,1.0,0.4,0.47834268994661483,0.49060272197018795
79,800,0.09000000000000001,8,5.0,112,0.4,0.5,0.4806942013983826,0.4948152948801037
80,1900,0.08,6,7.0,72,0.2,0.35000000000000003,0.48145383030720196,0.4964355152300713
81,1900,0.08,5,7.0,72,0.2,0.35000000000000003,0.47848590420286224,0.4927090084251458
