param,param_clean,dtype,recommended_min,recommended_max
n_estimators,n_estimators,int,500.0,2000.0
learning_rate,learning_rate,float,0.022545,0.046006
num_leaves,num_leaves,int,140.0,250.0
max_depth,max_depth,int,14.0,25.0
min_child_samples,min_child_samples,int,100.0,130.0
subsample,subsample,float,0.8,1.0
colsample_bytree,colsample_bytree,float,1.0,1.0
reg_alpha,reg_alpha,float,0.468115,1.517112
reg_lambda,reg_lambda,float,0.019665,0.447411
