param,param_clean,dtype,recommended_min,recommended_max
n_estimators,n_estimators,int,1500.0,1700.0
learning_rate,learning_rate,float,0.020729,0.027147
num_leaves,num_leaves,int,146.0,155.0
max_depth,max_depth,int,17.0,18.0
min_child_samples,min_child_samples,int,99.0,101.0
subsample,subsample,float,0.8,1.0
colsample_bytree,colsample_bytree,int,1.0,1.0
reg_alpha,reg_alpha,float,1.080626,1.17336
reg_lambda,reg_lambda,float,0.003889,0.050652
