iter	TotalF1	MultiClass
167	0.5360804118	0.9529525294
168	0.5362491765	0.9527446545
169	0.5365409506	0.9524951225
170	0.5367063404	0.9523521931
171	0.5368140635	0.9521580125
172	0.5369054892	0.9519112686
173	0.5368420771	0.9516997856
174	0.536597977	0.9514450876
175	0.5371893882	0.951210316
176	0.5371844246	0.9509689842
177	0.5368863968	0.9507729996
178	0.5371458457	0.9505154315
179	0.537610331	0.9502672936
180	0.5376529646	0.9500498244
181	0.5375944435	0.949821695
182	0.5376811671	0.9495937295
183	0.5378506897	0.9493270592
184	0.5380459619	0.9490963057
185	0.538041656	0.9488357035
186	0.5381433014	0.9486855579
187	0.5385152689	0.9484431602
188	0.5389627497	0.9481990404
189	0.5392915235	0.9479759131
190	0.5398936598	0.9477143269
191	0.5404192131	0.9474811133
192	0.5399793165	0.9472484738
193	0.5404206644	0.9469934477
194	0.5406259821	0.9466478915
195	0.540670792	0.9464195161
196	0.5406353958	0.9461972908
197	0.5411180398	0.9460422251
198	0.5413246785	0.945867725
199	0.5413922792	0.9456578
200	0.5415926488	0.9453944097
201	0.5419993618	0.9452148254
202	0.5425372758	0.9449942402
203	0.5427694014	0.9447665208
204	0.5428199637	0.9446111271
205	0.5429418864	0.944398496
206	0.543025596	0.944186685
207	0.5431847475	0.9439712659
208	0.5430737412	0.9437342802
209	0.5431886713	0.9435792965
210	0.5433321896	0.9433748657
211	0.5437373241	0.943135502
212	0.5437257699	0.9429415674
213	0.5442366625	0.9427340204
214	0.5440757964	0.9424893266
215	0.5444560475	0.9423078563
216	0.5444147981	0.9420725927
217	0.5447259347	0.9418618477
218	0.5449167858	0.941665043
219	0.5452618972	0.9414232193
220	0.5454797587	0.9411822155
221	0.5459735756	0.9409977112
222	0.5459088474	0.9408355113
223	0.546055442	0.9406457588
224	0.5463074064	0.9404336197
225	0.5464940131	0.9402737159
226	0.5464853879	0.9401330006
227	0.5468117456	0.9398532099
228	0.5468700429	0.9396617354
229	0.5468382806	0.9395068337
230	0.5471234189	0.9393405338
231	0.5471879516	0.9391698057
232	0.5473408903	0.938888293
233	0.5474851241	0.9387134649
234	0.5481719893	0.9385625813
235	0.5485346858	0.9383306798
236	0.5485953714	0.9381233788
237	0.5492077977	0.9379228841
238	0.5492222085	0.937710171
239	0.5495861758	0.9374866337
240	0.5499894707	0.9372648184
241	0.5497854284	0.9370520233
242	0.5498854906	0.9368241399
243	0.5503024883	0.9366259412
