TIMESTAMP,포함된 FEATURE,F1 MACRO,ACCURACY
2025-09-12 13:37:16,"vip_inactive, new_inactive, is_high_payment_interval, is_high_interaction, freq_per_tenure, interaction_per_freq, older_low_contract, vip_low_interaction, contract_ratio, payment_freq_alignment, gender_age_group",0.4418,0.5029
2025-09-12 13:37:41,"older_and_member, vip_inactive, is_high_payment_interval, older_low_contract, vip_low_interaction, contract_ratio, renewal_pressure, subscription_code, gender_age_group, usage_cluster",0.4469,0.5061
2025-09-12 13:38:14,"is_older_group, new_inactive, is_long_contract, payment_per_freq, short_tenure_high_interval, older_low_contract, vip_low_interaction, interaction_rate, contract_ratio",0.4436,0.5045
2025-09-12 13:38:37,"is_older_group, older_and_member, is_low_frequency, is_long_contract, is_high_payment_interval, older_low_contract, vip_low_interaction, contract_ratio, payment_freq_alignment, gender_age_group, usage_cluster",0.4439,0.5049
2025-09-12 13:39:15,"older_and_member, vip_inactive, new_inactive, payment_per_freq, vip_low_interaction, interaction_rate, renewal_pressure, gender_age_group",0.4439,0.5057
2025-09-12 13:39:50,"vip_inactive, is_long_contract, freq_per_tenure, older_low_contract, interaction_rate, contract_ratio, subscription_code",0.4408,0.5015
2025-09-12 13:40:25,"older_and_member, is_low_frequency, vip_inactive, new_inactive, is_high_interaction, freq_per_tenure, interaction_per_freq, short_tenure_high_interval, contract_ratio, subscription_code, usage_cluster",0.4427,0.5032
